,AD_Ratio,Date,Stock1,Stock2,Stock3,Stock4,Stock5
0,0.403225806,2020-01-01 00:00:00+05:30,GUJGASLTD,ADANIPORTS,ALKEM,LTI,MFSL
1,1.175,2020-01-02 00:00:00+05:30,AMBUJACEM,APOLLOHOSP,SAIL,RAMCOCEM,ULTRACEMCO
2,1.230769231,2020-01-03 09:15:00+05:30,MCX,GMRINFRA,INDIAMART,NAM-INDIA,DIXON
3,0.279411765,2020-01-06 09:15:00+05:30,MINDTREE,CHOLAFIN,IEX,HAL,SBILIFE
4,0.611111111,2020-01-07 09:15:00+05:30,AARTIIND,METROPOLIS,PETRONET,PIDILITIND,AMARAJABAT
5,7.285714286,2020-01-08 09:15:00+05:30,AMBUJACEM,METROPOLIS,SHREECEM,PIIND,GUJGASLTD
6,1.071428571,2020-01-09 09:15:00+05:30,DEEPAKNTR,GRANULES,ESCORTS,SUNTV,CUMMINSIND
7,2.052631579,2020-01-10 09:15:00+05:30,POLYCAB,STAR,INDIAMART,SUNTV,SAIL
8,0.705882353,2020-01-13 09:15:00+05:30,HAL,POLYCAB,BHEL,BANDHANBNK,MANAPPURAM
9,2.0,2020-01-14 09:15:00+05:30,TATACONSUM,IRCTC,TATACHEM,HAL,TATASTEEL
10,1.096385542,2020-01-15 09:15:00+05:30,LTI,MINDTREE,POLYCAB,MGL,TRENT
11,0.611111111,2020-01-16 09:15:00+05:30,APOLLOHOSP,MGL,TORNTPHARM,FEDERALBNK,NAVINFLUOR
12,1.949152542,2020-01-17 09:15:00+05:30,DEEPAKNTR,MRF,GRASIM,PEL,INDIAMART
13,0.338461538,2020-01-20 09:15:00+05:30,GRANULES,BPCL,IOC,HINDPETRO,ONGC
14,2.163636364,2020-01-21 09:15:00+05:30,IDEA,INDUSTOWER,SRTRANSFIN,IEX,RBLBANK
15,0.487179487,2020-01-22 09:15:00+05:30,HAVELLS,INDIAMART,CADILAHC,NMDC,METROPOLIS
16,3.702702703,2020-01-23 09:15:00+05:30,IOC,GMRINFRA,IBULHSGFIN,RAMCOCEM,TATACONSUM
17,4.117647059,2020-01-24 09:15:00+05:30,AUBANK,BIOCON,ADANIENT,PFIZER,TATAPOWER
18,3.142857143,2020-01-27 09:15:00+05:30,ADANIENT,NAM-INDIA,LTTS,AUROPHARMA,SUNTV
19,0.85106383,2020-01-28 09:15:00+05:30,NAVINFLUOR,MCDOWELL-N,COFORGE,COROMANDEL,AMBUJACEM
20,0.689320388,2020-01-29 09:15:00+05:30,AARTIIND,CANFINHOME,TATAMOTORS,M&MFIN,ADANIPORTS
21,0.251798561,2020-01-30 09:15:00+05:30,STAR,DIXON,TATAPOWER,ESCORTS,COROMANDEL
22,0.462184874,2020-01-31 09:15:00+05:30,POLYCAB,INDUSTOWER,ESCORTS,M&MFIN,BAJAJ-AUTO
23,4.8,2020-02-01 09:15:00+05:30,CANFINHOME,LALPATHLAB,AMARAJABAT,RAMCOCEM,GUJGASLTD
24,2.052631579,2020-02-03 09:15:00+05:30,ASTRAL,GRANULES,MFSL,POLYCAB,HAL
25,1.383561644,2020-02-04 09:15:00+05:30,IEX,PEL,AUROPHARMA,NAUKRI,M&MFIN
26,1.416666667,2020-02-05 09:15:00+05:30,AUBANK,GODREJPROP,TATACONSUM,TORNTPOWER,NMDC
27,0.722772277,2020-02-06 09:15:00+05:30,DIVISLAB,GRANULES,SRTRANSFIN,TVSMOTOR,CADILAHC
28,1.175,2020-02-07 09:15:00+05:30,MCDOWELL-N,AUBANK,BANDHANBNK,AUROPHARMA,ABFRL
29,0.191780822,2020-02-10 09:15:00+05:30,BANDHANBNK,ALKEM,MANAPPURAM,NAM-INDIA,IBULHSGFIN
30,0.793814433,2020-02-11 09:15:00+05:30,IBULHSGFIN,L&TFH,JSWSTEEL,SRTRANSFIN,HDFCAMC
31,0.705882353,2020-02-12 09:15:00+05:30,TRENT,STAR,HINDUNILVR,IRCTC,MFSL
32,0.526315789,2020-02-13 09:15:00+05:30,IDEA,TORNTPOWER,NAVINFLUOR,ZEEL,AUBANK
33,0.85106383,2020-02-14 09:15:00+05:30,NAVINFLUOR,TRENT,PFC,TATAMOTORS,IDEA
34,0.426229508,2020-02-17 09:15:00+05:30,BALKRISIND,MUTHOOTFIN,MANAPPURAM,PAGEIND,TITAN
35,0.581818182,2020-02-18 09:15:00+05:30,IDEA,IRCTC,NAUKRI,GUJGASLTD,PFIZER
36,0.673076923,2020-02-19 09:15:00+05:30,GRANULES,AUROPHARMA,INDUSTOWER,NAM-INDIA,DEEPAKNTR
37,2.0,2020-02-20 09:15:00+05:30,INDIAMART,MFSL,IBULHSGFIN,POLYCAB,IDEA
38,1.9,2020-02-24 09:15:00+05:30,GMRINFRA,IEX,MFSL,AMBUJACEM,IPCALAB
39,0.611111111,2020-02-25 09:15:00+05:30,MINDTREE,DLF,TVSMOTOR,METROPOLIS,LALPATHLAB
40,0.657142857,2020-02-26 09:15:00+05:30,NAM-INDIA,NAVINFLUOR,AUBANK,METROPOLIS,RBLBANK
41,0.12987013,2020-02-27 09:15:00+05:30,PIDILITIND,SBILIFE,APOLLOHOSP,BANDHANBNK,ICICIGI
42,0.251798561,2020-02-28 09:15:00+05:30,GAIL,IEX,AARTIIND,RAMCOCEM,SRTRANSFIN
43,0.513043478,2020-03-02 09:15:00+05:30,PEL,ESCORTS,IDFCFIRSTB,METROPOLIS,BALKRISIND
44,0.380952381,2020-03-03 09:15:00+05:30,PFIZER,METROPOLIS,ABFRL,SUNPHARMA,DEEPAKNTR
45,0.673076923,2020-03-04 09:15:00+05:30,LALPATHLAB,MFSL,NATIONALUM,POWERGRID,SUNPHARMA
46,0.260869565,2020-03-05 09:15:00+05:30,CADILAHC,PIDILITIND,HINDUNILVR,BANDHANBNK,DIVISLAB
47,3.461538462,2020-03-06 09:15:00+05:30,AUBANK,INDIAMART,INDUSINDBK,STAR,METROPOLIS
48,0.279411765,2020-03-09 09:15:00+05:30,BPCL,HINDPETRO,COROMANDEL,INDIGO,NTPC
49,0.234042553,2020-03-11 09:15:00+05:30,ZEEL,CANFINHOME,INDUSTOWER,TECHM,SBILIFE
50,0.115384615,2020-03-12 09:15:00+05:30,LALPATHLAB,IEX,BOSCHLTD,INDUSTOWER,INDUSINDBK
51,6.565217391,2020-03-13 09:15:00+05:30,IDFCFIRSTB,BRITANNIA,SYNGENE,M&MFIN,HDFCAMC
52,3.35,2020-03-16 09:15:00+05:30,GLENMARK,PVR,INDIGO,GUJGASLTD,SRTRANSFIN
53,6.909090909,2020-03-17 09:15:00+05:30,POWERGRID,MCX,INDUSINDBK,COALINDIA,IDFCFIRSTB
54,0.16,2020-03-18 09:15:00+05:30,ZEEL,ALKEM,MUTHOOTFIN,RBLBANK,HINDUNILVR
55,1.230769231,2020-03-19 09:15:00+05:30,HCLTECH,ICICIGI,UBL,INDUSINDBK,RBLBANK
56,0.474576271,2020-03-20 09:15:00+05:30,IBULHSGFIN,GAIL,PVR,PIIND,JUBLFOOD
57,0.183673469,2020-03-23 09:15:00+05:30,PETRONET,IBULHSGFIN,NAVINFLUOR,NMDC,TECHM
58,0.054545455,2020-03-24 09:15:00+05:30,TORNTPOWER,PIIND,INFY,MOTHERSUMI,NAUKRI
59,0.260869565,2020-03-25 09:15:00+05:30,GRASIM,METROPOLIS,GODREJPROP,UBL,MANAPPURAM
60,18.33333333,2020-03-26 09:15:00+05:30,MFSL,BANDHANBNK,DEEPAKNTR,GODREJPROP,NAVINFLUOR
61,0.757575758,2020-03-27 09:15:00+05:30,MCX,INDUSINDBK,IBULHSGFIN,PEL,SRTRANSFIN
62,5.444444444,2020-03-30 09:15:00+05:30,OFSS,NAM-INDIA,INDUSINDBK,IRCTC,MINDTREE
63,0.581818182,2020-03-31 09:15:00+05:30,DEEPAKNTR,VEDL,IPCALAB,WIPRO,ONGC
64,0.793814433,2020-04-01 09:15:00+05:30,DIXON,AARTIIND,SYNGENE,BOSCHLTD,IPCALAB
65,1.175,2020-04-03 09:15:00+05:30,AUROPHARMA,SUNTV,NAVINFLUOR,GLENMARK,BAJFINANCE
66,1.32,2020-04-06 09:15:00+05:30,INDUSINDBK,PFIZER,M&M,AXISBANK,DIXON
67,1.32,2020-04-07 09:15:00+05:30,INDUSINDBK,PFIZER,M&M,AXISBANK,DIXON
68,11.42857143,2020-04-08 09:15:00+05:30,JINDALSTEL,ASHOKLEY,BHARATFORG,M&M,HAL
69,1.071428571,2020-04-09 09:15:00+05:30,DEEPAKNTR,TATAMOTORS,MARUTI,CIPLA,SRTRANSFIN
70,0.12987013,2020-04-13 09:15:00+05:30,IDEA,GLENMARK,NAUKRI,AUROPHARMA,INFY
71,3.142857143,2020-04-14 09:15:00+05:30,MOTHERSUMI,UPL,PVR,MINDTREE,ESCORTS
72,3.142857143,2020-04-15 09:15:00+05:30,MOTHERSUMI,UPL,PVR,MINDTREE,ESCORTS
73,4.612903226,2020-04-16 09:15:00+05:30,BALKRISIND,GODREJPROP,VEDL,BANDHANBNK,TATACHEM
74,0.74,2020-04-17 09:15:00+05:30,COFORGE,JUBLFOOD,ICICIPRULI,M&MFIN,TRENT
75,1.175,2020-04-20 09:15:00+05:30,TATAMOTORS,GUJGASLTD,BEL,MPHASIS,ZEEL
76,1.383561644,2020-04-21 09:15:00+05:30,AUROPHARMA,GRANULES,INDUSTOWER,GLENMARK,DEEPAKNTR
77,0.348837209,2020-04-22 09:15:00+05:30,AUROPHARMA,SRTRANSFIN,ZEEL,GLENMARK,HEROMOTOCO
78,2.107142857,2020-04-23 09:15:00+05:30,BRITANNIA,PFIZER,GLENMARK,TRENT,COFORGE
79,2.411764706,2020-04-24 09:15:00+05:30,RBLBANK,STAR,BATAINDIA,TATACHEM,SRTRANSFIN
80,0.513043478,2020-04-27 09:15:00+05:30,HDFCAMC,NAM-INDIA,MCX,NAVINFLUOR,IRCTC
81,0.2,2020-04-28 09:15:00+05:30,COFORGE,UPL,TORNTPOWER,UBL,DLF
82,2.052631579,2020-04-29 09:15:00+05:30,BANDHANBNK,PVR,M&MFIN,COFORGE,CHOLAFIN
83,2.551020408,2020-04-30 09:15:00+05:30,ABFRL,ASHOKLEY,BHARATFORG,FEDERALBNK,APOLLOTYRE
84,0.462184874,2020-05-04 09:15:00+05:30,STAR,CUMMINSIND,SYNGENE,APOLLOHOSP,ONGC
85,0.270072993,2020-05-05 09:15:00+05:30,INDUSTOWER,INDIAMART,AARTIIND,M&M,DEEPAKNTR
86,3.142857143,2020-05-06 09:15:00+05:30,MANAPPURAM,COFORGE,CUB,LICHSGFIN,HEROMOTOCO
87,1.25974026,2020-05-07 09:15:00+05:30,JINDALSTEL,INDUSTOWER,M&MFIN,CANFINHOME,PNB
88,0.438016529,2020-05-08 09:15:00+05:30,NAM-INDIA,DEEPAKNTR,LICHSGFIN,IRCTC,UBL
89,0.95505618,2020-05-11 09:15:00+05:30,IDEA,FEDERALBNK,IGL,TVSMOTOR,ADANIENT
90,0.175675676,2020-05-12 09:15:00+05:30,UPL,ICICIGI,TCS,HCLTECH,GRANULES
91,0.308270677,2020-05-13 09:15:00+05:30,TATACHEM,AMBUJACEM,MPHASIS,INFY,RAMCOCEM
