,AD_Ratio,Date,Stock1,Stock2,Stock3,Stock4,Stock5
0,0.951219512,2017-01-02 09:15:00+05:30,BHARATFORG,ASTRAL,MOTHERSUMI,PETRONET,BHEL
1,1.461538462,2017-01-03 09:15:00+05:30,IOC,SUNTV,DEEPAKNTR,PNB,ESCORTS
2,1.222222222,2017-01-04 09:15:00+05:30,NMDC,COFORGE,IPCALAB,INDUSTOWER,M&MFIN
3,0.975308642,2017-01-05 09:15:00+05:30,JSWSTEEL,COROMANDEL,IOC,ADANIPORTS,WIPRO
4,0.860465116,2017-01-06 09:15:00+05:30,PFC,APOLLOTYRE,DLF,CANBK,CANFINHOME
5,0.975308642,2017-01-09 09:15:00+05:30,BEL,STAR,CONCOR,NMDC,HCLTECH
6,0.70212766,2017-01-10 09:15:00+05:30,ESCORTS,HINDALCO,GRANULES,PVR,VEDL
7,0.975308642,2017-01-11 09:15:00+05:30,JSWSTEEL,SRF,JINDALSTEL,NATIONALUM,TATASTEEL
8,0.584158416,2017-01-12 09:15:00+05:30,POWERGRID,PFC,GODREJPROP,COFORGE,BEL
9,0.25,2017-01-13 09:15:00+05:30,TATACONSUM,ESCORTS,GAIL,INDHOTEL,HDFC
10,3.324324324,2017-01-16 09:15:00+05:30,DLF,ABFRL,SAIL,ADANIPORTS,MANAPPURAM
11,0.70212766,2017-01-17 09:15:00+05:30,BALKRISIND,MCDOWELL-N,UPL,MUTHOOTFIN,MRF
12,2.80952381,2017-01-18 09:15:00+05:30,BHEL,COFORGE,HINDUNILVR,VEDL,DEEPAKNTR
13,0.632653061,2017-01-19 09:15:00+05:30,BAJAJFINSV,IDEA,ICICIPRULI,INDUSTOWER,BPCL
14,0.739130435,2017-01-20 09:15:00+05:30,SHREECEM,NAVINFLUOR,MOTHERSUMI,PVR,ICICIPRULI
15,2.333333333,2017-01-23 09:15:00+05:30,WIPRO,HCLTECH,MANAPPURAM,RECLTD,HINDPETRO
16,1.222222222,2017-01-24 09:15:00+05:30,GUJGASLTD,STAR,TRENT,PFC,ADANIPORTS
17,0.70212766,2017-01-25 09:15:00+05:30,MANAPPURAM,IOC,BAJFINANCE,GUJGASLTD,HDFC
18,1.666666667,2017-01-27 09:15:00+05:30,BALKRISIND,DIVISLAB,DEEPAKNTR,IGL,ZEEL
19,0.616161616,2017-01-30 09:15:00+05:30,BHARTIARTL,IDEA,JINDALSTEL,PIIND,DLF
20,0.467889908,2017-01-31 09:15:00+05:30,IDEA,NTPC,TATAPOWER,GMRINFRA,COROMANDEL
21,0.538461538,2017-02-01 09:15:00+05:30,HINDPETRO,AARTIIND,ADANIENT,BPCL,BALKRISIND
22,1.253521127,2017-02-02 09:15:00+05:30,DIVISLAB,CADILAHC,EXIDEIND,AUROPHARMA,CHOLAFIN
23,0.818181818,2017-02-03 09:15:00+05:30,GRANULES,SUNTV,IGL,INDUSINDBK,ABFRL
24,0.666666667,2017-02-06 09:15:00+05:30,ACC,GODREJPROP,ADANIENT,HAVELLS,AMBUJACEM
25,0.818181818,2017-02-07 09:15:00+05:30,TRENT,JINDALSTEL,TORNTPOWER,IBULHSGFIN,MGL
26,0.904761905,2017-02-08 09:15:00+05:30,GRANULES,ABFRL,EXIDEIND,TITAN,BERGEPAINT
