,AD_Ratio,Date,Stock1,Stock2,Stock3,Stock4,Stock5
0,0.951219512,2017-01-02 09:15:00+05:30,CANFINHOME,LICHSGFIN,SBIN,PNB,BOSCHLTD
1,0.70212766,2017-01-10 09:15:00+05:30,BERGEPAINT,UPL,AXISBANK,MINDTREE,APOLLOHOSP
2,0.584158416,2017-01-12 09:15:00+05:30,SHREECEM,SRTRANSFIN,JINDALSTEL,ADANIPORTS,JSWSTEEL
3,0.25,2017-01-13 09:15:00+05:30,APOLLOTYRE,INFY,JINDALSTEL,MCX,BALKRISIND
4,0.70212766,2017-01-17 09:15:00+05:30,DEEPAKNTR,CUB,JSWSTEEL,JINDALSTEL,CIPLA
5,0.632653061,2017-01-19 09:15:00+05:30,NATIONALUM,MCDOWELL-N,BALKRISIND,MINDTREE,UBL
6,0.739130435,2017-01-20 09:15:00+05:30,MUTHOOTFIN,DIVISLAB,NAUKRI,BAJAJFINSV,SRTRANSFIN
7,0.70212766,2017-01-25 09:15:00+05:30,PIIND,DEEPAKNTR,STAR,TRENT,BIOCON
8,0.616161616,2017-01-30 09:15:00+05:30,APLLTD,MINDTREE,SRTRANSFIN,SHREECEM,CHOLAFIN
9,0.467889908,2017-01-31 09:15:00+05:30,INDUSTOWER,GRASIM,DEEPAKNTR,ADANIENT,MGL
10,0.538461538,2017-02-01 09:15:00+05:30,INDIGO,TECHM,TCS,COFORGE,GRANULES
11,0.666666667,2017-02-06 09:15:00+05:30,PVR,PIIND,JINDALSTEL,SUNTV,AUROPHARMA
12,0.355932203,2017-02-09 09:15:00+05:30,CUB,MANAPPURAM,MUTHOOTFIN,PNB,HINDALCO
13,0.720430108,2017-02-10 09:15:00+05:30,AUROPHARMA,BATAINDIA,SAIL,CIPLA,VEDL
14,0.720430108,2017-02-13 09:15:00+05:30,SRF,CONCOR,SYNGENE,BALKRISIND,MUTHOOTFIN
15,0.6,2017-02-14 09:15:00+05:30,CONCOR,NAUKRI,SHREECEM,HINDALCO,NATIONALUM
16,0.632653061,2017-02-15 09:15:00+05:30,MCX,DLF,SRF,NAVINFLUOR,SUNPHARMA
17,0.739130435,2017-02-17 09:15:00+05:30,ICICIBANK,INDUSTOWER,BAJFINANCE,NAVINFLUOR,HINDALCO
18,0.568627451,2017-02-22 09:15:00+05:30,VOLTAS,TITAN,ASTRAL,APLLTD,HINDPETRO
19,0.666666667,2017-02-23 09:15:00+05:30,BHARTIARTL,GRASIM,DEEPAKNTR,HAVELLS,ASHOKLEY
20,0.632653061,2017-02-27 09:15:00+05:30,ADANIENT,TECHM,BANKBARODA,INDUSTOWER,EXIDEIND
21,0.666666667,2017-03-03 09:15:00+05:30,DEEPAKNTR,TORNTPHARM,VEDL,IOC,BOSCHLTD
22,0.70212766,2017-03-07 09:15:00+05:30,ICICIPRULI,HINDALCO,LALPATHLAB,ASHOKLEY,BERGEPAINT
23,0.616161616,2017-03-08 09:15:00+05:30,NMDC,NATIONALUM,SAIL,JSWSTEEL,HINDPETRO
24,0.403508772,2017-03-10 09:15:00+05:30,BALKRISIND,TECHM,ASTRAL,VEDL,GAIL
25,0.649484536,2017-03-14 09:15:00+05:30,COROMANDEL,APLLTD,IDEA,APOLLOHOSP,BHARTIARTL
26,0.509433962,2017-03-17 09:15:00+05:30,GMRINFRA,HINDALCO,APOLLOTYRE,IDEA,AUROPHARMA
27,0.403508772,2017-03-21 09:15:00+05:30,TRENT,ABFRL,IDEA,CANFINHOME,SYNGENE
28,0.509433962,2017-03-22 09:15:00+05:30,ULTRACEMCO,PNB,TORNTPHARM,PIDILITIND,TITAN
29,0.25984252,2017-03-27 09:15:00+05:30,JINDALSTEL,SAIL,IDEA,JSWSTEEL,HINDALCO
30,0.720430108,2017-04-10 09:15:00+05:30,SRTRANSFIN,COFORGE,JINDALSTEL,MUTHOOTFIN,IBULHSGFIN
31,0.088435374,2017-04-12 09:15:00+05:30,DEEPAKNTR,GMRINFRA,APOLLOTYRE,ABFRL,ADANIENT
32,0.632653061,2017-04-17 09:15:00+05:30,INDUSTOWER,ABFRL,APLLTD,CANFINHOME,JUBLFOOD
33,0.797752809,2017-04-19 09:15:00+05:30,JINDALSTEL,PNB,CHOLAFIN,DEEPAKNTR,OFSS
34,0.523809524,2017-04-20 09:15:00+05:30,CONCOR,WIPRO,AXISBANK,IPCALAB,TATAPOWER
35,0.6,2017-04-21 09:15:00+05:30,BIOCON,PETRONET,GUJGASLTD,CONCOR,TVSMOTOR
36,0.684210526,2017-04-27 09:15:00+05:30,ALKEM,CHOLAFIN,IPCALAB,CUB,DLF
37,0.649484536,2017-04-28 09:15:00+05:30,ADANIENT,DLF,LUPIN,STAR,APOLLOHOSP
38,0.70212766,2017-05-03 09:15:00+05:30,MPHASIS,UBL,HINDPETRO,SUNTV,GUJGASLTD
39,0.584158416,2017-05-05 09:15:00+05:30,JINDALSTEL,VEDL,GUJGASLTD,NATIONALUM,TRENT
40,0.290322581,2017-05-12 09:15:00+05:30,PIIND,ASIANPAINT,APLLTD,M&MFIN,CANFINHOME
41,0.403508772,2017-05-18 09:15:00+05:30,JSWSTEEL,BHARATFORG,HINDALCO,ABFRL,JINDALSTEL
42,0.355932203,2017-05-22 09:15:00+05:30,BAJAJFINSV,INDIGO,AARTIIND,TATAPOWER,COROMANDEL
43,0.151079137,2017-05-23 09:15:00+05:30,DEEPAKNTR,M&MFIN,NAVINFLUOR,DLF,RBLBANK
44,0.167883212,2017-05-29 09:15:00+05:30,GMRINFRA,TORNTPHARM,JINDALSTEL,HINDPETRO,ALKEM
45,0.720430108,2017-06-01 09:15:00+05:30,VEDL,RECLTD,PFIZER,MPHASIS,MINDTREE
46,0.538461538,2017-06-02 09:15:00+05:30,BALKRISIND,PFC,ASTRAL,TATASTEEL,M&MFIN
47,0.379310345,2017-06-06 09:15:00+05:30,GODREJPROP,BALKRISIND,CADILAHC,APLLTD,GMRINFRA
48,0.6,2017-06-08 09:15:00+05:30,ADANIENT,ADANIPORTS,DLF,GAIL,SUNTV
49,0.777777778,2017-06-09 09:15:00+05:30,UBL,TECHM,INDHOTEL,IOC,BPCL
50,0.777777778,2017-06-12 09:15:00+05:30,NAUKRI,MFSL,MPHASIS,ESCORTS,STAR
51,0.70212766,2017-06-13 09:15:00+05:30,NAUKRI,INDHOTEL,GUJGASLTD,GLENMARK,PEL
52,0.344537815,2017-06-14 09:15:00+05:30,GMRINFRA,APLLTD,CONCOR,COROMANDEL,PAGEIND
53,0.481481481,2017-06-19 09:15:00+05:30,ESCORTS,PEL,CHOLAFIN,SUNPHARMA,VOLTAS
54,0.797752809,2017-06-22 09:15:00+05:30,GODREJCP,CHOLAFIN,CUB,HCLTECH,MARICO
55,0.185185185,2017-06-23 09:15:00+05:30,GODREJPROP,ABFRL,CANFINHOME,IBULHSGFIN,ESCORTS
56,0.15942029,2017-06-27 09:15:00+05:30,ZEEL,SUNTV,GMRINFRA,IOC,HINDPETRO
57,0.720430108,2017-07-07 09:15:00+05:30,DEEPAKNTR,PIDILITIND,PAGEIND,IDFCFIRSTB,SRTRANSFIN
58,0.523809524,2017-07-11 09:15:00+05:30,IDFCFIRSTB,HINDPETRO,MANAPPURAM,JUBLFOOD,PAGEIND
59,0.467889908,2017-07-12 09:15:00+05:30,CANBK,PNB,APLLTD,BANKBARODA,JINDALSTEL
60,0.70212766,2017-07-17 09:15:00+05:30,HINDPETRO,HAVELLS,APLLTD,GODREJCP,IOC
61,0.538461538,2017-07-20 09:15:00+05:30,COFORGE,CANBK,TORNTPHARM,ICICIPRULI,DABUR
62,0.731182796,2017-07-25 09:15:00+05:30,GMRINFRA,OFSS,LICHSGFIN,TORNTPHARM,PFC
63,0.659793814,2017-07-27 09:15:00+05:30,NAVINFLUOR,PVR,MUTHOOTFIN,SUNPHARMA,UBL
64,0.518867925,2017-07-31 09:15:00+05:30,BERGEPAINT,IBULHSGFIN,LICHSGFIN,SIEMENS,SYNGENE
65,0.533333333,2017-08-02 09:15:00+05:30,COLPAL,GODREJCP,PEL,TRENT,GMRINFRA
66,0.4375,2017-08-03 09:15:00+05:30,NAVINFLUOR,JINDALSTEL,NATIONALUM,COFORGE,PAGEIND
67,0.080536913,2017-08-08 09:15:00+05:30,GMRINFRA,DEEPAKNTR,MUTHOOTFIN,TORNTPOWER,PNB
68,0.376068376,2017-08-10 09:15:00+05:30,DEEPAKNTR,MUTHOOTFIN,BPCL,EICHERMOT,SIEMENS
69,0.533333333,2017-08-16 09:15:00+05:30,BIOCON,IGL,JUBLFOOD,BANKBARODA,JINDALSTEL
70,0.125874126,2017-08-22 09:15:00+05:30,INDHOTEL,DLF,APOLLOTYRE,RECLTD,GMRINFRA
71,0.330578512,2017-08-29 09:15:00+05:30,HCLTECH,UPL,GRASIM,DEEPAKNTR,OFSS
72,0.563106796,2017-09-04 09:15:00+05:30,AARTIIND,PIIND,ASTRAL,ADANIENT,M&MFIN
73,0.412280702,2017-09-07 09:15:00+05:30,MUTHOOTFIN,TATAMOTORS,PFC,TITAN,SYNGENE
74,0.712765957,2017-09-11 09:15:00+05:30,GODREJPROP,LTTS,VOLTAS,SUNPHARMA,IDEA
75,0.36440678,2017-09-15 09:15:00+05:30,POWERGRID,MFSL,CADILAHC,NAUKRI,BPCL
76,0.760869565,2017-09-18 09:15:00+05:30,DIVISLAB,IPCALAB,SUNPHARMA,PIIND,NAUKRI
77,0.472727273,2017-09-19 09:15:00+05:30,DIVISLAB,NAUKRI,GUJGASLTD,INDIGO,APLLTD
78,0.396551724,2017-09-20 09:15:00+05:30,DIXON,TRENT,PFC,SUNPHARMA,PETRONET
79,0.157142857,2017-09-21 09:15:00+05:30,DEEPAKNTR,MANAPPURAM,NATIONALUM,DLF,MUTHOOTFIN
