,AD_Ratio,Date,Stock1,Stock2,Stock3,Stock4,Stock5
0,0.977272727,2020-08-03 09:15:00+05:30,UPL,BANDHANBNK,CIPLA,GODREJPROP,ESCORTS
1,0.438016529,2020-08-04 09:15:00+05:30,AARTIIND,LALPATHLAB,MINDTREE,INFY,INDUSINDBK
2,0.95505618,2020-08-10 09:15:00+05:30,CONCOR,RBLBANK,DEEPAKNTR,BANDHANBNK,MANAPPURAM
3,0.673076923,2020-08-14 09:15:00+05:30,INDHOTEL,INDIGO,BHEL,ASHOKLEY,TATAMOTORS
4,0.673076923,2020-08-17 09:15:00+05:30,HAL,LUPIN,BERGEPAINT,AUROPHARMA,GODREJCP
5,0.657142857,2020-08-21 09:15:00+05:30,PVR,ADANIENT,ZEEL,NATIONALUM,MUTHOOTFIN
6,0.793814433,2020-08-24 09:15:00+05:30,PFC,ABFRL,PNB,NTPC,ASTRAL
7,0.581818182,2020-08-25 09:15:00+05:30,GMRINFRA,DEEPAKNTR,GODREJCP,PAGEIND,NAVINFLUOR
8,0.539823009,2020-08-26 09:15:00+05:30,AARTIIND,GRASIM,CANFINHOME,DEEPAKNTR,HDFCAMC
9,0.626168224,2020-08-27 09:15:00+05:30,JINDALSTEL,HAL,DEEPAKNTR,NMDC,TATAPOWER
10,0.426229508,2020-08-31 09:15:00+05:30,SRTRANSFIN,RBLBANK,FEDERALBNK,INDUSINDBK,CANBK
11,0.094339623,2020-09-07 09:15:00+05:30,TATACONSUM,CADILAHC,NATIONALUM,ESCORTS,TATACHEM
12,0.8125,2020-09-08 09:15:00+05:30,IDEA,NAUKRI,GODREJPROP,PFIZER,STAR
13,0.567567568,2020-09-09 09:15:00+05:30,INDIAMART,ABFRL,DIXON,COROMANDEL,FEDERALBNK
14,0.657142857,2020-09-11 09:15:00+05:30,CUMMINSIND,PVR,AARTIIND,INDUSINDBK,COROMANDEL
15,0.793814433,2020-09-16 09:15:00+05:30,SUNTV,POLYCAB,DEEPAKNTR,APOLLOHOSP,CUMMINSIND
16,0.581818182,2020-09-18 09:15:00+05:30,TRENT,COFORGE,BANDHANBNK,MFSL,MUTHOOTFIN
17,0.270072993,2020-09-21 09:15:00+05:30,IBULHSGFIN,DRREDDY,JINDALSTEL,AUROPHARMA,STAR
18,0.167785235,2020-09-22 09:15:00+05:30,GUJGASLTD,ZEEL,MGL,UPL,MANAPPURAM
19,0.392,2020-09-23 09:15:00+05:30,BHARTIARTL,RBLBANK,INDUSINDBK,ALKEM,APOLLOTYRE
20,0.45,2020-09-24 09:15:00+05:30,SRTRANSFIN,AUBANK,BAJFINANCE,TITAN,NMDC
21,0.183673469,2020-09-25 09:15:00+05:30,IBULHSGFIN,ZEEL,COROMANDEL,MPHASIS,GRANULES
22,0.251798561,2020-09-29 09:15:00+05:30,HDFCAMC,INDUSINDBK,BHEL,PNB,BANDHANBNK
23,0.513043478,2020-09-30 09:15:00+05:30,BPCL,HINDPETRO,IDEA,ONGC,BANKBARODA
24,0.775510204,2020-10-01 09:15:00+05:30,INDHOTEL,PVR,MPHASIS,TITAN,BPCL
25,0.775510204,2020-10-05 09:15:00+05:30,INDUSTOWER,PVR,IDEA,BAJAJFINSV,RECLTD
26,0.45,2020-10-09 09:15:00+05:30,VEDL,INDUSTOWER,HINDALCO,TORNTPHARM,UPL
27,0.328244275,2020-10-12 09:15:00+05:30,VEDL,AUBANK,MOTHERSUMI,JSWSTEEL,RBLBANK
28,0.553571429,2020-10-14 09:15:00+05:30,VEDL,NTPC,LTTS,RAMCOCEM,SHREECEM
29,0.462184874,2020-10-16 09:15:00+05:30,MINDTREE,LTI,MPHASIS,HCLTECH,MGL
30,0.414634146,2020-10-22 09:15:00+05:30,SYNGENE,PIIND,APOLLOTYRE,CONCOR,GLENMARK
31,0.539823009,2020-10-23 09:15:00+05:30,COFORGE,NAVINFLUOR,APLLTD,BHARTIARTL,ICICIPRULI
32,0.611111111,2020-10-26 09:15:00+05:30,NTPC,ASHOKLEY,APLLTD,HEROMOTOCO,JUBLFOOD
33,0.567567568,2020-11-02 09:15:00+05:30,COFORGE,RELIANCE,BAJAJ-AUTO,JUBLFOOD,ASTRAL
34,0.689320388,2020-11-03 09:15:00+05:30,NTPC,STAR,BANKBARODA,RAMCOCEM,UPL
35,0.380952381,2020-11-04 09:15:00+05:30,PVR,TATASTEEL,MUTHOOTFIN,VEDL,SAIL
36,0.757575758,2020-11-18 09:15:00+05:30,SIEMENS,STAR,DLF,WIPRO,MARICO
37,0.689320388,2020-11-20 09:15:00+05:30,ASTRAL,CUB,DLF,ASHOKLEY,JINDALSTEL
38,0.657142857,2020-11-24 09:15:00+05:30,GAIL,ONGC,JUBLFOOD,JINDALSTEL,GMRINFRA
39,0.657142857,2020-11-26 09:15:00+05:30,TRENT,LTI,BALKRISIND,ASIANPAINT,NAVINFLUOR
