"small cap, Technical Analysis Scanner",,,,,,
Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
174,Idea Cellular Limited,IDEA,P&F | F.A,4%,8.4,"43,23,53,363"
92,Coromandel International Limited,COROMANDEL,P&F | F.A,3%,814.4,"21,71,045"
146,Zee Entertainment Enterprises Limited,ZEEL,P&F | F.A,3%,183,"86,92,351"
5,Nestle India Limited,NESTLEIND,P&F | F.A,3%,20457.2,"1,10,361"
161,Ashok Leyland Limited,ASHOKLEY,P&F | F.A,3%,125.3,"3,92,01,010"
156,The Indian Hotels Company Limited,INDHOTEL,P&F | F.A,3%,150.8,"98,13,885"
108,Bharti Airtel Limited,BHARTIARTL,P&F | F.A,3%,686.15,"1,94,19,892"
138,Indus Towers Ltd (Bharti Infratel),INDUSTOWER,P&F | F.A,3%,242.3,"65,86,351"
112,Syngene International Limited,SYNGENE,P&F | F.A,3%,630.55,"7,73,343"
37,METROPOLIS,METROPOLIS,P&F | F.A,2.70%,3008.4,"4,78,469"
163,Oil & Natural Gas Corporation Limited,ONGC,P&F | F.A,3%,122.15,"2,72,42,637"
116,Marico Limited,MARICO,P&F | F.A,2.50%,575,"41,80,525"
159,Power Finance Corporation Limited,PFC,P&F | F.A,2%,135.2,"1,25,00,381"
71,Pvr Limited,PVR,P&F | F.A,2%,1382,"6,03,263"
60,Multi Commodity Exchange Of India Limited,MCX,P&F | F.A,2%,1661.5,"8,32,470"
162,Steel Authority Of India Limited,SAIL,P&F | F.A,2%,122.2,"2,77,31,248"
122,Sun Tv Network Limited,SUNTV,P&F | F.A,2%,491.45,"13,25,696"
57,Colgate Palmolive (india) Limited,COLPAL,P&F | F.A,2%,1735.5,"5,89,555"
171,IDFC First Bank Ltd,IDFCFIRSTB,P&F | F.A,2%,46.9,"1,86,57,990"
166,National Aluminium Company Limited,NATIONALUM,P&F | F.A,2%,97.95,"2,85,33,795"
125,Hindalco Industries Limited,HINDALCO,P&F | F.A,2%,463.55,"69,26,659"
9,Srf Limited,SRF,P&F | F.A,2%,10329.45,"3,90,936"
50,Pidilite Industries Limited,PIDILITIND,P&F | F.A,2%,2348.25,"3,55,161"
68,Havells India Limited,HAVELLS,P&F | F.A,1%,1453.95,"17,45,952"
63,Grasim Industries Limited,GRASIM,P&F | F.A,1%,1597.9,"8,42,587"
114,Indian Energy Exchange Ltd,IEX,P&F | F.A,1%,598.85,"1,86,50,163"
135,Tata Motors Limited,TATAMOTORS,P&F | F.A,1%,298.95,"3,40,20,970"
20,Oracle Financial Services Software Limited,OFSS,P&F | F.A,1.20%,4767.55,"2,00,165"
69,Tata Steel Limited,TATASTEEL,P&F | F.A,1.20%,1447,"53,13,030"
38,Mphasis Limited,MPHASIS,P&F | F.A,1%,2993.55,"5,25,337"
28,Alkem Laboratories Limited,ALKEM,P&F | F.A,1%,3795.55,"2,39,894"
25,Jubilant Foodworks Limited,JUBLFOOD,P&F | F.A,1%,4097.7,"6,04,466"
7,Bajaj Finserv Limited,BAJAJFINSV,P&F | F.A,1%,16750.5,"1,80,816"
130,Jindal Steel & Power Limited,JINDALSTEL,P&F | F.A,1%,400.35,"60,72,716"
82,The Ramco Cements Limited,RAMCOCEM,P&F | F.A,1%,1056.2,"1,67,024"
126,Nippon Life India Asset Management Ltd,NAM-INDIA,P&F | F.A,1%,440.25,"56,44,611"
98,United Spirits Limited,MCDOWELL-N,P&F | F.A,1%,755.4,"12,67,467"
134,Vedanta Limited,VEDL,P&F | F.A,1%,301.85,"73,43,112"
101,Container Corporation Of India Limited,CONCOR,P&F | F.A,1%,742.95,"38,21,406"
51,Siemens Limited,SIEMENS,P&F | F.A,1%,2230.55,"3,78,399"
24,Dr. Lal Path Labs Ltd.,LALPATHLAB,P&F | F.A,1%,4117.4,"1,24,752"
121,Glenmark Pharmaceuticals Limited,GLENMARK,P&F | F.A,1%,524.55,"11,03,544"
76,Hcl Technologies Limited,HCLTECH,P&F | F.A,1%,1198.55,"33,88,292"
32,Pi Industries Limited,PIIND,P&F | F.A,1%,3407.05,"1,93,843"
144,Motherson Sumi Systems Limited,MOTHERSUMI,P&F | F.A,1%,212.65,"35,74,361"
61,ICICI Lombard General Insurance Company Ltd,ICICIGI,P&F | F.A,1%,1621.65,"3,70,982"
16,Larsen & Toubro Infotech Limited,LTI,P&F | F.A,1%,5434.55,"1,21,111"
143,Itc Limited,ITC,P&F | F.A,1%,212.65,"1,90,51,252"
40,Eicher Motors Limited,EICHERMOT,P&F | F.A,1%,2818.2,"4,56,149"
90,Berger Paints (i) Limited,BERGEPAINT,P&F | F.A,1%,836.55,"3,98,725"
3,Page Industries Limited,PAGEIND,P&F | F.A,1%,32096,"18,152"
127,Ambuja Cements Limited,AMBUJACEM,P&F | F.A,1%,438.35,"13,62,416"
75,Voltas Limited,VOLTAS,P&F | F.A,1%,1213.1,"20,68,928"
119,Cadila Healthcare Limited,CADILAHC,P&F | F.A,0.50%,558.1,"18,77,624"
139,Petronet Lng Limited,PETRONET,P&F | F.A,0%,231.6,"18,57,421"
29,Tata Consultancy Services Limited,TCS,P&F | F.A,0%,3791.4,"14,41,148"
62,United Breweries Limited,UBL,P&F | F.A,0%,1599.95,"5,96,741"
73,Hindustan Aeronautics Ltd,HAL,P&F | F.A,0%,1374.3,"9,13,226"
164,Ntpc Limited,NTPC,P&F | F.A,0%,114.55,"57,57,417"
8,Bosch Limited,BOSCHLTD,P&F | F.A,0.40%,14328.65,"14,711"
45,Acc Limited,ACC,P&F | F.A,0.40%,2458.75,"1,81,417"
30,Mindtree Limited,MINDTREE,P&F | F.A,0%,3764.8,"6,97,166"
70,Tech Mahindra Limited,TECHM,P&F | F.A,0%,1433.25,"23,03,457"
100,Adani Ports And Special Economic Zone Limited,ADANIPORTS,P&F | F.A,0%,749.7,"28,29,060"
148,Power Grid Corporation Of India Limited,POWERGRID,P&F | F.A,0%,173.5,"38,08,763"
41,Hindustan Unilever Limited,HINDUNILVR,P&F | F.A,0%,2810.65,"8,79,454"
123,Bharat Petroleum Corporation Limited,BPCL,P&F | F.A,0%,491.15,"45,42,492"
13,Maruti Suzuki India Limited,MARUTI,P&F | F.A,0%,6802.25,"5,15,702"
33,Asian Paints Limited,ASIANPAINT,P&F | F.A,0%,3346.35,"5,91,745"
107,Jsw Steel Limited,JSWSTEEL,P&F | F.A,0%,688.95,"23,81,494"
36,Torrent Pharmaceuticals Limited,TORNTPHARM,P&F | F.A,0%,3108.35,"72,201"
83,Cummins India Limited,CUMMINSIND,P&F | F.A,0%,1044,"12,22,854"
26,Britannia Industries Limited,BRITANNIA,P&F | F.A,0%,4070.8,"2,95,134"
56,Bata India Limited,BATAINDIA,P&F | F.A,0%,1737.75,"1,52,040"
128,State Bank Of India,SBIN,P&F | F.A,0%,432.3,"96,62,128"
59,Larsen & Toubro Limited,LT,P&F | F.A,0%,1670.05,"12,25,239"
95,Bharat Forge Limited,BHARATFORG,P&F | F.A,0%,773.85,"12,03,910"
165,Indian Oil Corporation Limited,IOC,P&F | F.A,0%,112.8,"1,33,22,585"
22,Dixon Technologies,DIXON,P&F | F.A,0%,4317.2,"1,66,912"
151,Manappuram Finance Limited,MANAPPURAM,P&F | F.A,0%,165.05,"18,83,802"
55,Kotak Mahindra Bank Limited,KOTAKBANK,P&F | F.A,0%,1817.85,"36,42,925"
129,Lic Housing Finance Limited,LICHSGFIN,P&F | F.A,0%,419.05,"66,28,482"
104,Amara Raja Batteries Limited,AMARAJABAT,P&F | F.A,0.10%,721.35,"2,41,783"
15,Pfizer Limited,PFIZER,P&F | F.A,0%,6102.75,"65,404"
141,Apollo Tyres Limited,APOLLOTYRE,P&F | F.A,0%,214.95,"26,10,370"
96,Alembic Pharmaceuticals Limited,APLLTD,P&F | F.A,0%,765.8,"98,671"
39,Housing Development Finance Corporation Limited,HDFC,P&F | F.A,0%,2830.1,"19,86,913"
154,City Union Bank Limited,CUB,P&F | F.A,0%,155.4,"5,34,738"
158,Gail (india) Limited,GAIL,P&F | F.A,0%,145.15,"1,20,18,323"
19,Dr. Reddy's Laboratories Limited,DRREDDY,P&F | F.A,0%,4912.05,"3,62,411"
110,Wipro Limited,WIPRO,P&F | F.A,0%,662.35,"58,05,730"
49,Deepak Nitrite Limited,DEEPAKNTR,P&F | F.A,0%,2360.7,"3,58,333"
80,Godrej Consumer Products Limited,GODREJCP,P&F | F.A,0%,1109.25,"8,58,513"
167,L&t Finance Holdings Limited,L&TFH,P&F | F.A,0%,84.7,"32,84,619"
85,Indusind Bank Limited,INDUSINDBK,P&F | F.A,0%,999.5,"31,93,603"
115,Strides Shasun Limited,STAR,P&F | F.A,0%,596.1,"3,16,633"
145,Bharat Electronics Limited,BEL,P&F | F.A,0%,197.05,"38,60,406"
34,Indian Railway Catering & Tourism Corporation Ltd,IRCTC,P&F | F.A,0%,3295,"56,65,215"
86,Lupin Limited,LUPIN,P&F | F.A,0%,981.8,"10,39,035"
142,Aditya Birla Fashion And Retail Limited,ABFRL,P&F | F.A,0%,214.4,"14,07,445"
42,Hero Motocorp Limited,HEROMOTOCO,P&F | F.A,0%,2796.7,"4,03,669"
88,Aarti Industries Limited,AARTIIND,P&F | F.A,0%,909.6,"7,06,685"
170,Bharat Heavy Electricals Limited,BHEL,P&F | F.A,0%,55.65,"1,82,26,347"
58,Infosys Limited,INFY,P&F | F.A,-0.10%,1691.6,"33,31,674"
64,Godrej Properties Limited,GODREJPROP,P&F | F.A,-0.10%,1581.55,"2,69,829"
105,Icici Bank Limited,ICICIBANK,P&F | F.A,-0.10%,720.25,"62,43,422"
118,Indraprastha Gas Limited,IGL,P&F | F.A,0%,564.3,"16,76,976"
43,Piramal Enterprises Limited,PEL,P&F | F.A,0%,2575.65,"4,54,802"
94,Sun Pharmaceuticals Industries Limited,SUNPHARMA,P&F | F.A,0%,776.3,"20,08,287"
152,Canara Bank,CANBK,P&F | F.A,0%,157.5,"67,60,623"
153,Rural Electrification Corporation Limited,RECLTD,P&F | F.A,0%,157.3,"45,14,012"
155,Nmdc Limited,NMDC,P&F | F.A,0%,152,"56,29,258"
102,Aurobindo Pharma Limited,AUROPHARMA,P&F | F.A,-0.20%,741.75,"19,30,098"
47,Reliance Industries Limited,RELIANCE,P&F | F.A,0%,2425.6,"41,36,538"
169,Bank Of Baroda,BANKBARODA,P&F | F.A,0%,79.15,"1,14,53,820"
87,Cipla Limited,CIPLA,P&F | F.A,0%,949.3,"37,69,007"
172,Punjab National Bank,PNB,P&F | F.A,0%,37.55,"2,00,50,778"
133,Granules India Limited,GRANULES,P&F | F.A,-0.30%,328.05,"9,03,586"
150,Mahindra & Mahindra Financial Services Limited,M&MFIN,P&F | F.A,-0.30%,167.6,"23,62,369"
120,Tvs Motor Company Limited,TVSMOTOR,P&F | F.A,0%,544.75,"14,21,480"
157,Coal India Limited,COALINDIA,P&F | F.A,0%,148.65,"95,19,564"
91,Tata Chemicals Limited,TATACHEM,P&F | F.A,0%,829.25,"8,31,574"
111,Dabur India Limited,DABUR,P&F | F.A,0%,638.3,"21,95,875"
160,Tata Power Company Limited,TATAPOWER,P&F | F.A,0%,132.75,"1,44,53,584"
67,Muthoot Finance Limited,MUTHOOTFIN,P&F | F.A,0%,1538.9,"6,64,017"
81,Max Financial Services Limited,MFSL,P&F | F.A,0%,1085.35,"5,38,913"
4,Shree Cements Limited,SHREECEM,P&F | F.A,-0.40%,30671.35,"38,503"
17,Coforge (Niit Tech),COFORGE,P&F | F.A,0%,5114.95,"2,24,361"
12,Bajaj Finance Limited,BAJFINANCE,P&F | F.A,0%,7430.65,"7,00,436"
137,Hindustan Petroleum Corporation Limited,HINDPETRO,P&F | F.A,0%,268.65,"34,97,263"
14,Info Edge (india) Limited,NAUKRI,P&F | F.A,0%,6684.85,"6,25,275"
1,Mrf Limited,MRF,P&F | F.A,0%,79867.9,"14,454"
89,TATA Consumer Products Ltd,TATACONSUM,P&F | F.A,0%,875.6,"16,85,368"
65,Hdfc Bank Limited,HDFCBANK,P&F | F.A,0%,1568.6,"41,25,474"
23,L&t Technology Services Limited,LTTS,P&F | F.A,-0.50%,4315.3,"1,93,439"
44,Ipca Laboratories Limited,IPCALAB,P&F | F.A,-1%,2523.15,"1,19,346"
132,Dlf Limited,DLF,P&F | F.A,-1%,332.95,"36,18,505"
72,Escorts Limited,ESCORTS,P&F | F.A,-1%,1375.95,"10,57,441"
99,Mahindra & Mahindra Limited,M&M,P&F | F.A,-1%,750.75,"33,13,559"
97,Upl Limited,UPL,P&F | F.A,-1%,757.9,"11,74,804"
147,Exide Industries Limited,EXIDEIND,P&F | F.A,-1%,182,"40,26,580"
93,Axis Bank Limited,AXISBANK,P&F | F.A,-1%,790.15,"49,09,325"
18,Divi's Laboratories Limited,DIVISLAB,P&F | F.A,-1%,5054.9,"3,73,656"
35,HDFC Asset Management Company Ltd,HDFCAMC,P&F | F.A,-1%,3248.4,"12,64,083"
77,AU Small Finance Bank,AUBANK,P&F | F.A,-1%,1173.75,"6,89,998"
31,Bajaj Auto Limited,BAJAJ-AUTO,P&F | F.A,-1%,3700.6,"4,79,537"
11,Ultratech Cement Limited,ULTRACEMCO,P&F | F.A,-1%,7939.65,"1,59,693"
79,Mahanagar Gas Limited,MGL,P&F | F.A,-1%,1168.8,"2,31,015"
66,Adani Enterprises Limited,ADANIENT,P&F | F.A,-0.70%,1545,"12,43,149"
131,Biocon Limited,BIOCON,P&F | F.A,-1%,352.75,"10,96,752"
136,Bandhan Bank Ltd,BANDHANBNK,P&F | F.A,-1%,283.6,"20,94,368"
46,Balkrishna Industries Limited,BALKRISIND,P&F | F.A,-1%,2456.2,"2,01,670"
168,The Federal Bank  Limited,FEDERALBNK,P&F | F.A,-1%,82.4,"73,02,486"
103,HDFC Life Insurance Company Ltd,HDFCLIFE,P&F | F.A,-1%,737.35,"28,67,987"
48,POLYCAB,POLYCAB,P&F | F.A,-1%,2384.05,"5,00,919"
149,Rbl Bank Limited,RBLBANK,P&F | F.A,-1%,172.15,"30,66,447"
140,Indiabulls Housing Finance Limited,IBULHSGFIN,P&F | F.A,-1%,227.45,"34,97,141"
53,Titan Company Limited,TITAN,P&F | F.A,-1%,2034.3,"6,53,397"
124,Torrent Power Limited,TORNTPOWER,P&F | F.A,-1%,477.45,"15,37,264"
84,Trent Limited,TRENT,P&F | F.A,-1%,1022.55,"12,28,907"
52,Astral Poly Technik Limited,ASTRAL,P&F | F.A,-1%,2049.5,"2,76,219"
27,Navin Fluorine International Limited,NAVINFLUOR,P&F | F.A,-1%,3960.6,"1,29,292"
74,Shriram Transport Finance Company Limited,SRTRANSFIN,P&F | F.A,-1%,1348.35,"7,58,444"
173,Gmr Infrastructure Limited,GMRINFRA,P&F | F.A,-1%,30.1,"48,04,373"
10,INDIAMART,INDIAMART,P&F | F.A,-1%,8881.25,"1,82,362"
109,Gujarat Gas Limited,GUJGASLTD,P&F | F.A,-1%,679.95,"12,94,227"
117,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,P&F | F.A,-2%,568.25,"14,16,634"
21,Apollo Hospitals Enterprise Limited,APOLLOHOSP,P&F | F.A,-2%,4719.55,"8,38,279"
54,Interglobe Aviation Limited,INDIGO,P&F | F.A,-2%,1911.6,"6,33,432"
113,Can Fin Homes Limited,CANFINHOME,P&F | F.A,-2%,624.75,"42,15,589"
106,Icici Prudential Life Insurance Company Limited,ICICIPRULI,P&F | F.A,-3%,696.7,"13,99,121"
78,SBI Life Insurance Company Ltd,SBILIFE,P&F | F.A,-4%,1173.2,"1,01,15,407"
