Date,Symbol,Series,Prev Close,Open,High,Low,Last,Price,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,ADANIENT,EQ,82.25,83.0,86.55,82.65,84.1,84.15,84.85,4511923,38282115860000.0,25353,613945,0.1361
2015-10-07,ADANIENT,EQ,84.15,84.55,86.4,84.2,84.9,84.85,85.24,2831684,24136896155000.0,15299,369064,0.1303
2015-10-08,ADANIENT,EQ,84.85,85.3,85.4,82.2,84.1,84.15,83.65,2003678,16761711255000.002,11199,250344,0.12490000000000001
2015-10-09,ADANIENT,EQ,84.15,85.0,86.25,82.4,83.85,83.95,84.17,2714686,22848887695000.0,14994,343555,0.1266
2015-10-12,ADANIENT,EQ,83.95,84.45,87.8,83.75,86.15,86.1,85.98,3089281,26560787990000.0,18871,551018,0.1784
2015-10-13,ADANIENT,EQ,86.1,86.0,86.4,84.2,84.85,85.05,85.12,1748944,14887158244999.998,9775,308056,0.1761
2015-10-14,ADANIENT,EQ,85.05,84.95,87.4,84.05,84.85,84.8,85.55,1891862,16184671855000.002,10388,246528,0.1303
2015-10-15,ADANIENT,EQ,84.8,85.45,98.6,85.45,97.05,96.75,95.37,25277896,241077609144999.97,131700,2329154,0.09210000000000002
2015-10-16,ADANIENT,EQ,96.75,98.0,102.0,94.8,95.9,96.1,97.88,16094236,157528740320000.0,78938,2366055,0.147
2015-10-19,ADANIENT,EQ,96.1,95.5,95.95,93.0,93.7,93.75,94.15,3798212,35762059465000.0,19966,671807,0.17690000000000003
2015-10-20,ADANIENT,EQ,93.75,94.0,98.2,93.85,95.8,96.0,96.24,4752006,45730987565000.0,22646,772422,0.1625
2015-10-21,ADANIENT,EQ,96.0,96.0,96.8,91.3,93.85,93.7,93.99,3011971,28310054989999.996,16091,483911,0.1607
2015-10-23,ADANIENT,EQ,93.7,94.5,96.45,93.7,93.8,94.05,94.85,2855488,27083130735000.004,16230,494654,0.1732
2015-10-26,ADANIENT,EQ,94.05,94.2,94.8,91.1,91.6,91.65,92.66,2063707,19121613065000.0,14175,443646,0.215
2015-10-27,ADANIENT,EQ,91.65,91.2,92.55,90.75,91.75,91.8,91.76,2874968,26380274830000.0,15080,342934,0.1193
2015-10-28,ADANIENT,EQ,91.8,91.4,93.0,90.0,90.9,91.1,91.55,3510522,32137891235000.004,17947,384085,0.1094
2015-10-29,ADANIENT,EQ,91.1,91.3,92.4,90.45,90.7,91.15,91.52,2923488,26754919150000.0,11969,949369,0.3247
2015-10-30,ADANIENT,EQ,91.15,91.3,94.4,91.0,91.95,92.4,92.96,4393195,40840920780000.0,21288,741824,0.16890000000000002
2015-11-02,ADANIENT,EQ,92.4,92.5,92.75,87.6,87.8,88.4,89.06,5245268,46714017295000.0,25342,963902,0.1838
2015-11-03,ADANIENT,EQ,88.4,89.2,90.05,87.2,88.3,88.4,88.7,3580084,31754902545000.0,20070,415733,0.1161
2015-11-04,ADANIENT,EQ,88.4,89.0,89.6,84.85,84.85,85.2,86.6,2815021,24376857430000.0,15721,636856,0.2262
2015-11-05,ADANIENT,EQ,85.2,85.05,85.2,81.0,81.5,81.55,82.94,2625816,21779322565000.0,15013,450601,0.1716
2015-11-06,ADANIENT,EQ,81.55,81.9,82.4,78.0,79.0,79.05,79.63,3374873,26875059305000.0,20997,500540,0.14830000000000002
2015-11-09,ADANIENT,EQ,79.05,75.7,80.3,75.1,79.2,79.45,77.93,4257169,33177529439999.996,18917,508408,0.11939999999999999
2015-11-10,ADANIENT,EQ,79.45,79.3,79.65,76.0,76.5,76.3,77.48,2560600,19839767220000.0,11372,599027,0.2339
2015-11-11,ADANIENT,EQ,76.3,76.95,78.0,76.8,78.0,77.6,77.37,332686,2574075235000.0,3103,115530,0.3473
2015-11-13,ADANIENT,EQ,77.6,77.4,77.4,74.3,75.3,75.45,75.35,2386058,17979228855000.0,11646,521511,0.2186
2015-11-16,ADANIENT,EQ,75.45,75.3,78.25,74.75,77.35,77.1,76.84,2632700,20230027840000.0,12615,406244,0.1543
2015-11-17,ADANIENT,EQ,77.1,77.6,81.9,77.4,80.1,80.15,80.39,5074688,40794749130000.0,23008,783124,0.1543
2015-11-18,ADANIENT,EQ,80.15,80.15,80.35,77.45,77.85,77.95,78.55,2109870,16573321285000.0,12074,337905,0.1602
2015-11-19,ADANIENT,EQ,77.95,78.4,79.25,76.55,78.3,77.95,77.92,2116927,16495938744999.998,13166,321169,0.1517
2015-11-20,ADANIENT,EQ,77.95,78.3,79.8,77.2,78.15,78.2,78.43,2664657,20898147365000.0,16238,373191,0.1401
2015-11-23,ADANIENT,EQ,78.2,78.5,81.0,78.5,79.2,79.25,79.59,2886638,22975063735000.0,14023,479899,0.16620000000000001
2015-11-24,ADANIENT,EQ,79.25,79.7,81.25,78.9,79.5,79.6,79.98,3913611,31299826635000.004,19198,537961,0.1375
2015-11-26,ADANIENT,EQ,79.6,80.0,83.75,79.5,83.0,82.6,81.76,4083203,33385158230000.0,20063,1090172,0.267
2015-11-27,ADANIENT,EQ,82.6,83.0,83.9,81.7,82.05,82.25,82.87,2055704,17035870394999.998,9330,360501,0.1754
2015-11-30,ADANIENT,EQ,82.25,82.25,83.45,81.6,82.15,82.4,82.53,1511509,12474430170000.0,6916,311546,0.2061
2015-12-01,ADANIENT,EQ,82.4,82.75,82.8,80.85,81.4,81.5,81.79,1284825,10508817160000.0,7295,278049,0.2164
2015-12-02,ADANIENT,EQ,81.5,81.8,84.65,80.65,83.35,83.3,82.75,3380397,27973446655000.0,14995,514954,0.15230000000000002
2015-12-03,ADANIENT,EQ,83.3,83.0,83.05,80.55,80.8,80.95,81.68,2300212,18789109155000.0,9895,390279,0.1697
2015-12-04,ADANIENT,EQ,80.95,80.2,82.7,78.4,78.65,79.0,80.81,2526335,20415997555000.0,11454,424193,0.1679
2015-12-07,ADANIENT,EQ,79.0,79.45,80.75,79.0,79.35,79.3,79.67,1289510,10273893530000.0,6594,253041,0.1962
2015-12-08,ADANIENT,EQ,79.3,78.9,79.7,75.8,76.15,76.25,77.63,2104213,16334204150000.0,9542,514757,0.2446
