Date,Symbol,Series,Prev Close,Open,High,Low,Last,Price,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,BHARATFORG,EQ,948.25,953.0,956.25,925.8,932.0,931.95,935.11,929622,86929518160000.0,44995,453943,0.4883
2015-10-07,BHARATFORG,EQ,931.95,931.0,938.4,922.1,930.0,931.85,930.87,788507,73399852360000.0,30222,402039,0.5099
2015-10-08,BHARATFORG,EQ,931.85,932.0,942.6,928.0,930.0,930.5,933.12,593377,55369026725000.0,21423,245823,0.4143
2015-10-09,BHARATFORG,EQ,930.5,938.9,952.5,936.0,951.65,948.6,945.88,1127094,106609720595000.0,38937,583859,0.518
2015-10-12,BHARATFORG,EQ,948.6,962.0,967.8,950.5,956.0,956.3,958.55,640346,61380457350000.0,23717,297398,0.4644
2015-10-13,BHARATFORG,EQ,956.3,959.0,964.6,930.3,932.0,934.95,944.38,467235,44124922925000.0,18642,189173,0.40490000000000004
2015-10-14,BHARATFORG,EQ,934.95,887.0,906.8,876.5,890.5,890.4,892.6,2522638,225170470165000.0,82324,1101118,0.4365
2015-10-15,BHARATFORG,EQ,890.4,895.0,903.6,878.15,887.7,885.3,886.88,1103544,97870923865000.0,43842,588672,0.5334000000000001
2015-10-16,BHARATFORG,EQ,885.3,890.0,907.35,880.1,896.5,895.95,895.97,866501,77636285780000.0,28528,373977,0.4316
2015-10-19,BHARATFORG,EQ,895.95,900.0,902.5,891.1,897.0,896.2,895.88,520340,46616376130000.0,14513,286150,0.5499
2015-10-20,BHARATFORG,EQ,896.2,895.4,938.25,894.85,932.9,933.2,923.13,1287522,118855526045000.0,35376,557220,0.4328
2015-10-21,BHARATFORG,EQ,933.2,934.9,938.0,920.0,927.0,926.25,926.66,430031,39849072995000.0,16532,165870,0.3857
2015-10-23,BHARATFORG,EQ,926.25,930.8,939.15,921.0,922.8,922.3,925.74,464241,42976438635000.0,19996,248289,0.5347999999999999
2015-10-26,BHARATFORG,EQ,922.3,922.95,926.85,895.0,902.65,901.9,901.55,1074548,96875581065000.0,38682,527947,0.4913
2015-10-27,BHARATFORG,EQ,901.9,901.0,919.0,893.0,913.2,914.3,908.92,602054,54722052610000.0,25089,218039,0.3622
2015-10-28,BHARATFORG,EQ,914.3,912.0,912.0,861.2,864.0,867.95,880.2,1163459,102407333155000.0,55501,528295,0.45409999999999995
2015-10-29,BHARATFORG,EQ,867.95,867.8,880.0,810.0,814.1,814.3,839.11,5088720,427000970155000.0,126020,1676916,0.3295
2015-10-30,BHARATFORG,EQ,814.3,818.4,869.0,814.0,861.05,859.35,846.08,2604983,220401419610000.0,84414,1081105,0.41500000000000004
2015-11-02,BHARATFORG,EQ,859.35,868.9,868.9,848.5,860.0,861.15,856.62,563193,48243994285000.0,16821,187157,0.3323
2015-11-03,BHARATFORG,EQ,861.15,865.0,867.3,843.2,852.0,855.8,854.2,649208,55455416685000.0,23267,189837,0.2924
2015-11-04,BHARATFORG,EQ,855.8,859.8,875.7,851.0,866.0,865.9,864.52,800635,69216239570000.01,26106,328787,0.4107
2015-11-05,BHARATFORG,EQ,865.9,866.9,875.6,855.0,856.25,860.7,867.05,522831,45332095350000.0,15519,229312,0.4386
2015-11-06,BHARATFORG,EQ,860.7,865.0,872.0,851.0,872.0,866.45,861.38,482929,41598617475000.0,14258,245633,0.5086
2015-11-09,BHARATFORG,EQ,866.45,852.05,885.95,846.0,882.9,880.85,876.01,658852,57715963079999.99,17853,268946,0.4082
2015-11-10,BHARATFORG,EQ,880.85,882.0,896.7,870.0,882.0,881.2,882.21,461009,40670494225000.0,13656,150347,0.3261
2015-11-11,BHARATFORG,EQ,881.2,889.9,895.0,886.05,890.05,889.05,889.85,68829,6124774730000.0,3159,23232,0.3375
