Date,Symbol,Series,Prev Close,Open,High,Low,Last,Price,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,CHOLAFIN,EQ,646.1,644.05,652.0,635.5,641.0,642.4,645.06,8764,565326745000.0,827,4231,0.4828
2015-10-07,CHOLAFIN,EQ,642.4,641.25,649.8,635.0,639.9,641.4,643.11,15700,1009675510000.0,1954,5429,0.3458
2015-10-08,CHOLAFIN,EQ,641.4,640.45,646.0,625.0,625.5,627.8,633.1,15789,999606480000.0001,1670,11427,0.7237
2015-10-09,CHOLAFIN,EQ,627.8,626.0,636.55,616.0,617.0,618.55,622.9,14526,904825515000.0,1207,8644,0.5951
2015-10-12,CHOLAFIN,EQ,618.55,626.0,626.0,610.0,620.0,618.85,621.25,11189,695114740000.0,1340,6397,0.5717
2015-10-13,CHOLAFIN,EQ,618.85,610.0,624.0,608.3,613.25,613.0,615.19,18515,1139019890000.0,1970,8444,0.4561
2015-10-14,CHOLAFIN,EQ,613.0,613.25,624.0,612.95,615.0,620.55,616.73,17089,1053926094999.9999,1152,9733,0.5695
2015-10-15,CHOLAFIN,EQ,620.55,622.05,625.8,617.0,617.1,618.65,622.65,11946,743819795000.0,828,8776,0.7345999999999999
2015-10-16,CHOLAFIN,EQ,618.65,620.0,628.95,589.75,603.2,605.45,591.73,865557,51217708010000.0,6105,798551,0.9226000000000001
2015-10-19,CHOLAFIN,EQ,605.45,611.5,626.75,606.0,610.0,610.8,615.23,28329,1742873260000.0002,1431,14184,0.5007
2015-10-20,CHOLAFIN,EQ,610.8,611.95,616.9,590.0,600.0,597.05,592.38,905567,53644066750000.0,3868,728864,0.8049
2015-10-21,CHOLAFIN,EQ,597.05,599.0,612.7,599.0,601.0,600.35,603.28,35936,2167939370000.0,1220,16892,0.47009999999999996
2015-10-23,CHOLAFIN,EQ,600.35,606.9,607.0,595.0,597.85,595.7,600.2,27252,1635677560000.0,1675,16963,0.6224000000000001
2015-10-26,CHOLAFIN,EQ,595.7,609.0,614.5,599.0,599.0,601.9,603.1,143880,8677473445000.0,2435,113831,0.7912
2015-10-27,CHOLAFIN,EQ,601.9,599.95,609.9,597.0,601.0,602.0,604.06,32597,1969051775000.0,889,25792,0.7912
2015-10-28,CHOLAFIN,EQ,602.0,607.95,632.05,600.0,617.5,616.2,612.04,390883,23923741445000.0,4794,321723,0.8231
2015-10-29,CHOLAFIN,EQ,616.2,625.0,635.05,617.75,628.1,629.35,628.53,80959,5088520550000.0,2984,48096,0.5941
2015-10-30,CHOLAFIN,EQ,629.35,626.05,635.9,610.05,630.0,621.35,624.25,409347,25553661305000.0,2752,392402,0.9586
2015-11-02,CHOLAFIN,EQ,621.35,622.0,644.85,621.0,634.0,628.4,633.0,43824,2774056680000.0,2380,20304,0.4633
2015-11-03,CHOLAFIN,EQ,628.4,632.15,644.95,627.1,638.5,640.0,637.46,83535,5325004905000.0,2100,68713,0.8226000000000001
2015-11-04,CHOLAFIN,EQ,640.0,643.95,649.0,635.0,644.0,642.85,644.28,44390,2859960695000.0,2131,33974,0.7654000000000001
2015-11-05,CHOLAFIN,EQ,642.85,644.2,645.0,616.15,617.25,622.5,633.4,26107,1653605220000.0,3238,13961,0.5347999999999999
2015-11-06,CHOLAFIN,EQ,622.5,618.9,625.05,608.9,615.0,612.95,616.06,14802,911895380000.0001,1200,7375,0.49820000000000003
2015-11-09,CHOLAFIN,EQ,612.95,600.0,624.0,596.0,624.0,619.9,617.63,19343,1194684415000.0,1036,14994,0.7752
2015-11-10,CHOLAFIN,EQ,619.9,625.3,625.3,604.5,610.05,605.65,610.38,20567,1255367190000.0,1332,13334,0.6483
2015-11-11,CHOLAFIN,EQ,605.65,613.2,625.0,609.2,622.0,619.5,619.42,3867,239530790000.0,308,2846,0.736
2015-11-13,CHOLAFIN,EQ,619.5,624.6,624.6,608.55,612.0,610.6,612.06,10614,649642475000.0,564,6082,0.573
2015-11-16,CHOLAFIN,EQ,610.6,615.0,618.2,606.15,608.0,609.5,610.48,13537,826412470000.0,560,10681,0.789
2015-11-17,CHOLAFIN,EQ,609.5,619.95,619.95,603.0,608.0,607.7,609.51,29798,1816207900000.0,1441,18740,0.6289
2015-11-18,CHOLAFIN,EQ,607.7,607.75,607.75,599.0,605.9,603.4,601.24,63775,3834431625000.0,1448,52549,0.8240000000000001
2015-11-19,CHOLAFIN,EQ,603.4,607.7,611.8,600.0,607.05,607.4,606.23,9592,581496990000.0,928,3798,0.396
2015-11-20,CHOLAFIN,EQ,607.4,607.0,646.3,604.9,640.05,639.95,631.53,39421,2489567940000.0,1527,29674,0.7526999999999999
2015-11-23,CHOLAFIN,EQ,639.95,637.05,648.0,620.0,636.0,635.2,635.0,403021,25591788290000.0,726,397756,0.9869
2015-11-24,CHOLAFIN,EQ,635.2,632.45,649.95,628.05,647.0,643.05,640.19,13716,878088375000.0,792,8683,0.6331
2015-11-26,CHOLAFIN,EQ,643.05,645.0,654.95,631.6,639.0,639.95,639.94,269951,17275187240000.0,1141,259784,0.9623
2015-11-27,CHOLAFIN,EQ,639.95,642.0,650.0,639.35,650.0,648.0,646.68,9333,603547200000.0,522,6623,0.7095999999999999
2015-11-30,CHOLAFIN,EQ,648.0,647.75,652.5,630.45,645.0,645.4,648.75,62570,4059240554999.9995,1535,52100,0.8327
2015-12-01,CHOLAFIN,EQ,645.4,649.05,650.0,636.25,641.1,642.3,644.49,51867,3342750850000.0,1297,40597,0.7827
2015-12-02,CHOLAFIN,EQ,642.3,639.75,646.1,627.2,631.95,629.9,630.64,40501,2554142885000.0,1091,34691,0.8565
2015-12-03,CHOLAFIN,EQ,629.9,639.5,643.95,621.65,625.7,624.95,631.35,46777,2953270070000.0,1556,37665,0.8052
2015-12-04,CHOLAFIN,EQ,624.95,620.0,641.8,620.0,631.0,631.7,634.01,10949,694179680000.0,1045,4465,0.4078
2015-12-07,CHOLAFIN,EQ,631.7,628.05,650.0,628.0,636.0,637.05,636.39,6027,383552115000.0,365,3351,0.556
2015-12-08,CHOLAFIN,EQ,637.05,632.8,641.0,630.0,630.35,633.3,635.39,9343,593642535000.0,602,5582,0.5975
2015-12-09,CHOLAFIN,EQ,633.3,631.3,634.85,611.95,620.0,622.3,620.73,21585,1339838930000.0,1816,15166,0.7026000000000001
2015-12-10,CHOLAFIN,EQ,622.3,615.25,631.0,615.25,621.3,624.0,621.77,12666,787539305000.0,1353,8068,0.637
2015-12-11,CHOLAFIN,EQ,624.0,625.55,639.9,619.05,631.0,632.0,629.86,10881,685349725000.0,908,6358,0.5843
2015-12-14,CHOLAFIN,EQ,632.0,625.85,638.0,625.85,630.0,630.85,632.3,11305,714818310000.0,1421,5850,0.5175
2015-12-15,CHOLAFIN,EQ,630.85,644.55,648.0,626.0,643.45,644.65,637.66,21349,1361347065000.0,2268,15086,0.7066
2015-12-16,CHOLAFIN,EQ,644.65,645.0,649.0,632.6,634.0,639.4,640.61,9521,609922515000.0,621,6713,0.7051000000000001
2015-12-17,CHOLAFIN,EQ,639.4,641.95,643.0,630.7,641.95,638.15,634.72,10069,639095065000.0,458,7739,0.7686000000000001
2015-12-18,CHOLAFIN,EQ,638.15,642.95,645.0,632.95,636.0,636.6,638.69,78951,5042508985000.0,1184,73185,0.927
2015-12-21,CHOLAFIN,EQ,636.6,641.0,659.5,640.05,644.75,647.95,650.05,90626,5891155190000.0,5435,80313,0.8862000000000001
2015-12-22,CHOLAFIN,EQ,647.95,647.85,657.0,636.65,643.05,645.8,647.19,36296,2349032105000.0,1406,31844,0.8773000000000001
2015-12-23,CHOLAFIN,EQ,645.8,660.0,662.0,646.1,653.95,654.8,656.29,41447,2720132335000.0,1785,34324,0.8281000000000001
2015-12-24,CHOLAFIN,EQ,654.8,654.05,662.0,643.5,656.0,656.15,652.7,12168,794208850000.0,1268,4060,0.3337
2015-12-28,CHOLAFIN,EQ,656.15,662.95,670.1,650.0,653.55,652.95,658.47,12973,854236830000.0001,1037,4882,0.3763
2015-12-29,CHOLAFIN,EQ,652.95,654.3,658.6,637.1,640.0,641.2,649.46,165964,10778728955000.0,1805,156500,0.943
2015-12-30,CHOLAFIN,EQ,641.2,645.75,653.75,638.1,639.0,641.75,649.6,171747,11156709095000.0,1171,153546,0.8940000000000001
2015-12-31,CHOLAFIN,EQ,641.75,642.1,646.0,631.5,635.0,641.85,637.71,214958,13708019060000.0,964,6667,0.031000000000000003
2016-01-01,CHOLAFIN,EQ,641.85,646.95,646.95,627.95,643.0,638.75,636.33,9629,612725370000.0,853,4789,0.4974
2016-01-04,CHOLAFIN,EQ,638.75,641.25,653.0,633.1,641.0,640.4,640.42,12459,797901420000.0,1127,5945,0.4772
2016-01-05,CHOLAFIN,EQ,640.4,641.0,650.0,636.0,649.5,641.9,649.74,327930,21306936325000.0,1142,322385,0.9831000000000001
2016-01-06,CHOLAFIN,EQ,641.9,642.0,650.0,637.5,648.0,647.85,646.05,13665,882820775000.0,1675,7898,0.578
2016-01-07,CHOLAFIN,EQ,647.85,638.05,645.5,631.0,645.0,642.9,639.34,28674,1833245605000.0,2300,13052,0.45520000000000005
2016-01-08,CHOLAFIN,EQ,642.9,649.95,650.0,640.65,649.6,648.9,648.26,16233,1052327810000.0,659,10746,0.662
2016-01-11,CHOLAFIN,EQ,648.9,659.2,659.2,631.6,640.0,640.65,647.53,33009,2137421364999.9998,1088,18825,0.5703
2016-01-12,CHOLAFIN,EQ,640.65,646.55,654.0,640.05,642.0,644.15,645.18,12724,820930080000.0,618,8386,0.6591
2016-01-13,CHOLAFIN,EQ,644.15,648.0,648.0,610.2,622.8,624.5,629.45,14143,890226165000.0,1290,5542,0.39189999999999997
2016-01-14,CHOLAFIN,EQ,624.5,630.0,640.0,618.6,620.05,625.8,633.13,15618,988815294999.9999,1546,6821,0.43670000000000003
2016-01-15,CHOLAFIN,EQ,625.8,633.95,633.95,610.25,612.0,612.25,620.93,4146,257438279999.99997,484,1657,0.3997
2016-01-18,CHOLAFIN,EQ,612.25,630.0,630.0,592.5,600.05,599.1,599.06,82279,4929035125000.0,1506,68455,0.8320000000000001
2016-01-19,CHOLAFIN,EQ,599.1,605.95,617.95,602.05,610.0,608.55,608.55,9585,583295675000.0,1930,4251,0.4435
2016-01-20,CHOLAFIN,EQ,608.55,615.0,615.0,590.0,595.0,594.95,598.97,264450,15839816894999.998,1166,253250,0.9576000000000001
2016-01-21,CHOLAFIN,EQ,594.95,608.95,622.7,593.0,619.0,616.9,607.11,26056,1581896265000.0,1778,15271,0.5861
2016-01-22,CHOLAFIN,EQ,616.9,619.55,632.0,602.0,618.7,612.55,613.34,12890,790591935000.0,1063,3790,0.294
2016-01-25,CHOLAFIN,EQ,612.55,613.25,620.05,600.0,600.5,604.5,605.81,20592,1247484625000.0,1496,9824,0.4771
2016-01-27,CHOLAFIN,EQ,604.5,615.0,639.0,602.95,615.0,622.65,628.08,38091,2392437170000.0,2896,20488,0.5379
2016-01-28,CHOLAFIN,EQ,622.65,627.8,629.8,612.0,628.8,625.75,621.87,10146,630952145000.0,1298,3868,0.3812
2016-01-29,CHOLAFIN,EQ,625.75,633.95,636.4,620.05,633.0,632.0,630.2,40651,2561837205000.0,1496,35031,0.8618000000000001
2016-02-01,CHOLAFIN,EQ,632.0,651.0,680.0,638.3,649.0,646.35,646.08,33834,2185935355000.0,2563,13753,0.4065
2016-02-02,CHOLAFIN,EQ,646.35,659.95,659.95,637.35,640.25,643.3,651.32,19838,1292092950000.0,1351,10396,0.524
2016-02-03,CHOLAFIN,EQ,643.3,630.05,659.0,630.0,659.0,653.85,649.07,18539,1203306040000.0,855,13712,0.7395999999999999
2016-02-04,CHOLAFIN,EQ,653.85,654.0,675.0,647.1,673.0,672.45,662.23,17063,1129961805000.0,1057,11077,0.6492
2016-02-05,CHOLAFIN,EQ,672.45,672.0,695.2,654.0,694.0,689.2,676.99,210911,14278443400000.0,1289,202886,0.9620000000000001
2016-02-08,CHOLAFIN,EQ,689.2,690.0,724.5,675.0,700.6,701.65,698.23,679995,47479435245000.0,2445,663579,0.9759000000000001
2016-02-09,CHOLAFIN,EQ,701.65,690.0,706.9,680.6,685.0,684.45,686.23,10118,694329735000.0,876,3288,0.325
2016-02-10,CHOLAFIN,EQ,684.45,685.0,693.0,662.8,690.0,689.65,675.91,105702,7144485240000.001,2723,96097,0.9091
2016-02-11,CHOLAFIN,EQ,689.65,689.95,694.9,654.1,685.0,677.25,679.1,25859,1756080145000.0,2504,18194,0.7036
2016-02-12,CHOLAFIN,EQ,677.25,685.0,752.0,626.1,720.0,697.8,641.4,268627,17229605115000.0,5209,250754,0.9335
2016-02-15,CHOLAFIN,EQ,697.8,720.0,723.0,689.0,689.0,696.35,703.9,31659,2228469350000.0,1503,22099,0.698
2016-02-16,CHOLAFIN,EQ,696.35,704.0,704.0,665.1,680.0,674.25,679.45,12888,875680625000.0,1525,4909,0.3809
2016-02-17,CHOLAFIN,EQ,674.25,687.95,687.95,654.1,663.95,663.8,662.99,13463,892589150000.0,1377,6050,0.44939999999999997
2016-02-18,CHOLAFIN,EQ,663.8,666.8,668.35,639.0,640.25,645.5,653.64,15038,982942315000.0,1093,9292,0.6179
2016-02-19,CHOLAFIN,EQ,645.5,646.45,668.0,640.55,664.0,660.05,655.64,5972,391547805000.0,620,3088,0.5171
2016-02-22,CHOLAFIN,EQ,660.05,654.5,667.95,650.0,662.0,663.7,658.71,54879,3614938640000.0,313,54023,0.9844
2016-02-23,CHOLAFIN,EQ,663.7,659.7,660.0,632.45,635.05,636.15,638.94,16507,1054699610000.0,1318,10726,0.6498
2016-02-24,CHOLAFIN,EQ,636.15,629.95,655.0,626.45,653.0,642.5,638.62,10350,660973995000.0,835,7484,0.7231000000000001
2016-02-25,CHOLAFIN,EQ,642.5,640.0,659.95,626.65,630.25,631.25,643.88,45583,2934978210000.0,796,42257,0.927
2016-02-26,CHOLAFIN,EQ,631.25,644.95,646.75,630.5,632.0,636.2,638.11,5604,357599350000.0,484,3683,0.6572
2016-02-29,CHOLAFIN,EQ,636.2,656.95,656.95,625.0,644.05,644.2,638.63,11020,703768695000.0,2891,5687,0.5161
2016-03-01,CHOLAFIN,EQ,644.2,635.35,655.0,627.0,649.0,647.6,640.37,28037,1795413214999.9998,4057,18609,0.6637000000000001
2016-03-02,CHOLAFIN,EQ,647.6,659.9,665.55,645.0,653.4,654.75,662.34,36988,2449879805000.0,911,32916,0.8898999999999999
2016-03-03,CHOLAFIN,EQ,654.75,659.2,672.0,652.15,663.75,665.9,661.48,42736,2826907215000.0,1546,37163,0.8695999999999999
2016-03-04,CHOLAFIN,EQ,665.9,664.95,672.0,658.95,664.0,664.6,663.52,13711,909745865000.0,894,12125,0.8843000000000001
2016-03-08,CHOLAFIN,EQ,664.6,664.0,664.0,650.35,664.0,663.7,661.61,14093,932408444999.9999,2311,10937,0.7761
2016-03-09,CHOLAFIN,EQ,663.7,665.1,670.0,658.05,666.25,668.3,664.0,23850,1583640450000.0,655,22389,0.9387000000000001
2016-03-10,CHOLAFIN,EQ,668.3,655.0,692.7,655.0,690.0,689.95,673.1,21184,1425891430000.0,1654,16737,0.7901
2016-03-11,CHOLAFIN,EQ,689.95,690.0,695.0,665.55,668.0,670.3,675.15,23454,1583503330000.0,1798,14791,0.6306
2016-03-14,CHOLAFIN,EQ,670.3,674.0,683.5,665.05,668.75,668.65,673.49,16247,1094218610000.0,1805,9225,0.5678
2016-03-15,CHOLAFIN,EQ,668.65,674.85,674.85,650.65,670.2,667.0,660.63,13268,876526894999.9999,1325,7122,0.5368
2016-03-16,CHOLAFIN,EQ,667.0,669.4,682.0,650.0,653.0,652.9,658.03,68962,4537875500000.0,2572,63709,0.9238
2016-03-17,CHOLAFIN,EQ,652.9,656.0,684.0,655.6,672.15,679.05,668.85,26722,1787310630000.0,2421,18124,0.6781999999999999
2016-03-18,CHOLAFIN,EQ,679.05,679.05,689.45,661.25,668.1,670.1,676.24,42664,2885126495000.0,1033,37443,0.8776
2016-03-21,CHOLAFIN,EQ,670.1,675.95,689.8,666.25,682.0,683.35,677.21,14893,1008563790000.0,712,9263,0.622
2016-03-22,CHOLAFIN,EQ,683.35,690.0,690.0,665.0,686.0,685.55,678.39,27549,1868885845000.0,1840,13621,0.4944
2016-03-23,CHOLAFIN,EQ,685.55,680.0,689.0,678.1,685.2,687.25,685.93,213070,14615176185000.0,795,206550,0.9694
