,Equity,Day,Buy/Sell,Stock,Profit/Loss,Amount,
0,1000000,28-06-2017,Buy,SHARDAMOTR.NS,Nill,0,
1,894407.7387,06-11-2017,Sell,SHARDAMOTR.NS,Loss,105592.2613,131
2,1000000,25-11-2014,Buy,GREAVESCOT.NS,Nill,0,0
3,896608.8365,13-05-2015,Sell,GREAVESCOT.NS,Loss,103391.1635,169
4,1000000,06-09-2018,Buy,NELCO.NS,Nill,0,0
5,901275.5,18-09-2018,Sell,NELCO.NS,Loss,98724.5,12
6,1000000,23-01-2017,Buy,MUKANDLTD.NS,Nill,0,0
7,1216123.777,30-03-2017,Sell,MUKANDLTD.NS,Profit,216123.7774,66
8,1000000,08-06-2017,Buy,RUSHIL.NS,Nill,0,0
9,1294843.266,25-09-2017,Sell,RUSHIL.NS,Profit,294843.2657,109
10,1000000,25-07-2016,Buy,SOMANYCERA.NS,Nill,0,0
11,886769.9387,15-11-2016,Sell,SOMANYCERA.NS,Loss,113230.0613,113
12,1000000,01-02-2021,Buy,GLOBUSSPR.NS,Nill,0,0
13,886178.7827,01-03-2021,Sell,GLOBUSSPR.NS,Loss,113821.2173,28
14,1000000,04-07-2017,Buy,ACE.NS,Nill,0,0
15,896912.5,08-08-2017,Sell,ACE.NS,Loss,103087.5,35
16,896912.5,26-02-2021,Buy,ACE.NS,Nill,0,0
17,798109.6719,06-05-2021,Sell,ACE.NS,Loss,98802.82806,69
18,1000000,20-04-2016,Buy,MHRIL.NS,Nill,0,0
19,1209090.681,01-06-2017,Sell,MHRIL.NS,Profit,209090.6812,407
20,1000000,22-04-2016,Buy,TRIVENI.NS,Nill,0,0
21,906135.6642,24-05-2016,Sell,TRIVENI.NS,Loss,93864.33582,32
22,906135.6642,01-09-2020,Buy,TRIVENI.NS,Nill,0,0
23,816223.885,11-11-2020,Sell,TRIVENI.NS,Loss,89911.77921,71
24,1000000,19-10-2016,Buy,GALLANTT.NS,Nill,0,0
25,912245.6156,04-11-2016,Sell,GALLANTT.NS,Loss,87754.38443,16
26,1000000,11-04-2014,Buy,KSCL.NS,Nill,0,0
27,891606.3803,13-05-2014,Sell,KSCL.NS,Loss,108393.6197,32
28,891606.3803,26-08-2014,Buy,KSCL.NS,Nill,0,0
29,796264.2089,31-12-2014,Sell,KSCL.NS,Loss,95342.17139,127
30,796264.2089,13-04-2015,Buy,KSCL.NS,Nill,0,0
31,669556.3237,24-04-2015,Sell,KSCL.NS,Loss,126707.8852,11
32,669556.3237,21-06-2017,Buy,KSCL.NS,Nill,0,0
33,504470.0505,10-08-2017,Sell,KSCL.NS,Loss,165086.2732,50
34,1000000,19-05-2021,Buy,RAMCOIND.NS,Nill,0,0
35,908826.4415,10-06-2021,Sell,RAMCOIND.NS,Loss,91173.55847,22
36,1000000,17-12-2013,Buy,SHAKTIPUMP.NS,Nill,0,0
37,908223.4418,24-02-2014,Sell,SHAKTIPUMP.NS,Loss,91776.5582,69
38,908223.4418,28-06-2021,Buy,SHAKTIPUMP.NS,Nill,0,0
39,1000000,02-06-2021,Buy,NUCLEUS.NS,Nill,0,0
40,1000000,30-01-2017,Buy,SSWL.NS,Nill,0,0
41,1204117.685,29-03-2017,Sell,SSWL.NS,Profit,204117.6852,58
