Date,Symbol,Series,Prev Close,Open,High,Low,Last,Price,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,DABUR,EQ,275.1,276.5,278.8,275.0,276.05,276.9,276.26,2333198,64456969765000.0,17722,1936974,0.8301999999999999
2015-10-07,DABUR,EQ,276.9,277.3,282.3,274.1,280.0,279.6,279.48,2288521,63958724915000.0,49642,1563916,0.6834
2015-10-08,DABUR,EQ,279.6,280.0,280.0,275.8,276.55,277.8,277.53,700744,19447562385000.0,35086,469501,0.67
2015-10-09,DABUR,EQ,277.8,278.2,281.6,277.2,279.45,279.85,279.91,1003106,28077440689999.996,43102,737698,0.7354
2015-10-12,DABUR,EQ,279.85,280.1,283.6,278.1,279.0,279.0,280.96,886526,24907682320000.0,45234,609235,0.6872
2015-10-13,DABUR,EQ,279.0,279.7,279.7,270.5,270.8,271.0,272.44,2078106,56615130400000.0,42086,1576807,0.7587999999999999
2015-10-14,DABUR,EQ,271.0,271.75,274.2,270.85,272.7,272.8,272.73,602902,16442701419999.998,12452,337714,0.5601
2015-10-15,DABUR,EQ,272.8,273.0,274.55,271.0,272.0,271.8,272.42,623919,16996535800000.0,9636,384873,0.6169
2015-10-16,DABUR,EQ,271.8,272.0,273.1,271.1,272.5,272.65,272.41,450580,12274169740000.0,9463,295962,0.6568
2015-10-19,DABUR,EQ,272.65,275.0,275.3,271.55,272.3,272.45,272.56,652060,17772466925000.0,15929,457040,0.7009000000000001
2015-10-20,DABUR,EQ,272.45,273.0,273.0,269.65,271.4,271.05,270.94,805956,21836668880000.0,26677,578695,0.718
2015-10-21,DABUR,EQ,271.05,271.85,271.85,268.8,270.4,270.25,270.32,648268,17524187850000.0,14720,330008,0.5091
2015-10-23,DABUR,EQ,270.25,271.3,272.7,262.0,264.0,262.9,267.16,1925488,51440564940000.0,40244,1520489,0.7897
2015-10-26,DABUR,EQ,262.9,264.0,269.0,264.0,267.5,266.7,266.84,990157,26421316060000.0,31338,514803,0.5199
2015-10-27,DABUR,EQ,266.7,266.9,271.3,265.1,270.85,271.0,269.2,2279056,61351574215000.0,20403,1286362,0.5644
2015-10-28,DABUR,EQ,271.0,272.7,273.3,268.75,271.95,271.95,271.25,3333211,90412962525000.0,50157,1392451,0.4178
2015-10-29,DABUR,EQ,271.95,273.3,274.7,271.0,272.0,272.45,272.53,1596428,43507105195000.0,25946,881750,0.5523
2015-10-30,DABUR,EQ,272.45,272.5,273.35,268.35,269.9,269.75,270.8,1920432,52006025610000.0,15799,1553001,0.8087000000000001
2015-11-02,DABUR,EQ,269.75,269.75,271.2,265.15,270.05,270.85,269.96,1524569,41157486775000.0,22238,1209172,0.7931
2015-11-03,DABUR,EQ,270.85,272.65,272.65,269.0,269.8,270.2,270.31,657613,17775892860000.0,16775,410956,0.6249
2015-11-04,DABUR,EQ,270.2,270.0,271.1,268.1,270.05,270.05,269.92,707656,19101092210000.0,10427,439935,0.6217
2015-11-05,DABUR,EQ,270.05,269.6,270.85,264.3,264.6,266.25,268.46,2012396,54025492700000.0,11386,1802802,0.8958
2015-11-06,DABUR,EQ,266.25,263.55,268.45,263.55,268.0,267.65,267.08,894416,23888347465000.0,12352,667744,0.7465999999999999
2015-11-09,DABUR,EQ,267.65,260.05,269.25,260.05,266.0,266.65,268.24,2257719,60561389015000.0,29575,1765431,0.782
2015-11-10,DABUR,EQ,266.65,267.75,267.75,262.5,264.6,264.65,264.78,756444,20029339640000.0,12618,437289,0.5781000000000001
2015-11-11,DABUR,EQ,264.65,265.05,269.25,265.05,267.7,266.75,267.4,111103,2970898955000.0,1935,61660,0.555
2015-11-13,DABUR,EQ,266.75,266.6,268.55,262.5,268.0,267.55,266.65,1156537,30839318545000.0,22653,780459,0.6748000000000001
2015-11-16,DABUR,EQ,267.55,267.95,268.0,260.1,260.9,260.9,261.18,2004956,52364670495000.0,40469,1642947,0.8194
2015-11-17,DABUR,EQ,260.9,261.65,266.0,260.65,266.0,264.05,261.36,2120115,55411994500000.0,16579,1839617,0.8677
2015-11-18,DABUR,EQ,264.05,264.35,270.0,264.2,268.5,269.05,268.15,978997,26251406795000.0,49793,645407,0.6593000000000001
2015-11-19,DABUR,EQ,269.05,270.2,274.5,270.2,274.0,274.0,272.78,1217423,33208805670000.0,92150,800533,0.6576000000000001
2015-11-20,DABUR,EQ,274.0,275.0,278.0,274.35,274.7,275.9,276.77,1678426,46453332750000.0,120599,1272160,0.7579000000000001
2015-11-23,DABUR,EQ,275.9,274.25,278.9,273.55,274.6,274.8,277.2,646537,17922203435000.0,46107,328512,0.5081
2015-11-24,DABUR,EQ,274.8,274.95,277.95,274.05,275.0,275.2,276.59,568036,15711351044999.998,36386,309367,0.5446
2015-11-26,DABUR,EQ,275.2,275.9,280.75,274.9,279.75,279.8,278.31,646172,17983907665000.0,25912,347841,0.5383
2015-11-27,DABUR,EQ,279.8,281.0,281.35,274.9,275.1,275.7,275.99,811983,22409890350000.0,19066,471123,0.5802
2015-11-30,DABUR,EQ,275.7,276.3,277.45,271.6,275.0,272.55,273.14,2118028,57851827635000.0,41811,1588407,0.7499
2015-12-01,DABUR,EQ,272.55,275.05,279.65,274.15,277.65,278.5,277.46,872615,24211381510000.0,27952,558243,0.6397
2015-12-02,DABUR,EQ,278.5,279.9,284.5,276.95,283.3,283.9,281.85,800977,22575307020000.0,15540,355076,0.44329999999999997
2015-12-03,DABUR,EQ,283.9,283.75,283.85,276.2,277.3,276.85,278.9,884186,24659538565000.0,15570,461058,0.5214
2015-12-04,DABUR,EQ,276.85,269.85,273.3,268.25,270.75,271.7,270.89,1506058,40798086340000.0,24814,626883,0.41619999999999996
2015-12-07,DABUR,EQ,271.7,273.95,278.85,271.0,276.65,276.25,274.56,855569,23490372060000.0,12741,416087,0.4863
2015-12-08,DABUR,EQ,276.25,275.3,278.5,272.05,275.15,275.1,276.09,1208271,33358921055000.0,30859,794494,0.6575
2015-12-09,DABUR,EQ,275.1,274.8,275.8,268.8,269.15,269.9,270.36,992370,26830144235000.0,28326,677288,0.6825
2015-12-10,DABUR,EQ,269.9,272.2,272.8,266.05,270.75,269.45,268.42,1073991,28828407295000.0,26455,697402,0.6494
2015-12-11,DABUR,EQ,269.45,271.5,271.5,266.5,268.9,268.0,268.37,839877,22539536770000.0,23870,571546,0.6805
2015-12-14,DABUR,EQ,268.0,265.0,267.95,261.9,266.1,265.9,264.45,1235627,32675775050000.0,27268,694966,0.5624
2015-12-15,DABUR,EQ,265.9,265.75,273.4,265.3,272.6,272.55,270.67,616027,16673812719999.998,18956,341629,0.5546
2015-12-16,DABUR,EQ,272.55,273.35,273.35,265.5,269.6,269.7,268.24,1058453,28392442405000.0,17715,523729,0.49479999999999996
2015-12-17,DABUR,EQ,269.7,271.0,276.0,267.75,274.25,275.5,273.13,889839,24304440660000.0,22460,460020,0.517
2015-12-18,DABUR,EQ,275.5,275.0,278.4,272.75,274.9,274.0,275.49,1234650,34013711935000.004,23165,828028,0.6707
2015-12-21,DABUR,EQ,274.0,275.5,279.0,272.5,276.8,277.45,276.6,965806,26713714565000.0,26840,534737,0.5537
2015-12-22,DABUR,EQ,277.45,278.5,279.25,275.3,277.5,278.1,277.84,717391,19932194160000.0,25095,478081,0.6664
2015-12-23,DABUR,EQ,278.1,278.9,280.0,276.2,279.5,279.45,278.74,761905,21237463470000.0,11457,401957,0.5276
2015-12-24,DABUR,EQ,279.45,279.0,279.0,275.5,277.0,276.7,277.24,263389,7302319895000.0,5665,108256,0.41100000000000003
2015-12-28,DABUR,EQ,276.7,277.8,278.5,275.7,277.75,277.2,277.28,608324,16867649390000.0,20564,367795,0.6046
2015-12-29,DABUR,EQ,277.2,277.9,278.4,276.5,277.1,277.3,277.37,275161,7632108184999.999,7128,142865,0.5192
2015-12-30,DABUR,EQ,277.3,276.0,277.6,274.1,274.2,275.0,275.97,367883,10152464795000.0,8973,220528,0.5995
2015-12-31,DABUR,EQ,275.0,273.3,277.5,273.3,276.3,276.95,276.32,717614,19829212985000.0,12832,529453,0.7378
2016-01-01,DABUR,EQ,276.95,276.45,278.9,275.75,275.8,276.4,277.31,124367,3448869615000.0,2148,25631,0.2061
2016-01-04,DABUR,EQ,276.4,276.25,281.0,275.5,275.75,276.9,278.49,554107,15431433425000.0,17603,258855,0.4672
2016-01-05,DABUR,EQ,276.9,276.9,279.5,273.9,277.0,275.95,276.22,629235,17380832950000.0,19815,388341,0.6172
2016-01-06,DABUR,EQ,275.95,276.3,280.9,274.3,275.0,275.9,277.76,750275,20839606025000.0,30387,433581,0.5779
2016-01-07,DABUR,EQ,275.9,275.0,275.0,265.95,268.05,267.7,269.22,910959,24525000785000.0,16339,570254,0.626
2016-01-08,DABUR,EQ,267.7,268.75,271.9,268.0,268.1,269.05,270.01,579211,15639441855000.002,22355,375472,0.6482
2016-01-11,DABUR,EQ,269.05,267.0,267.55,261.65,263.65,263.1,263.45,1259036,33169469060000.004,32884,862105,0.6847
2016-01-12,DABUR,EQ,263.1,264.0,264.0,253.2,255.5,254.9,256.29,1520863,38978399200000.0,46474,897510,0.5901
2016-01-13,DABUR,EQ,254.9,255.85,257.9,249.0,256.3,256.85,253.1,1266564,32056192150000.0,28595,637141,0.503
2016-01-14,DABUR,EQ,256.85,255.8,261.8,252.2,259.6,259.8,258.58,1136944,29399663314999.996,18893,608898,0.5356000000000001
2016-01-15,DABUR,EQ,259.8,258.6,261.3,249.5,252.0,250.3,254.13,390418,9921659660000.0,7214,168327,0.4311
2016-01-18,DABUR,EQ,250.3,249.5,252.0,245.0,249.5,247.3,248.0,813644,20178738630000.0,13590,456147,0.5606
2016-01-19,DABUR,EQ,247.3,247.3,254.0,246.5,249.5,249.55,249.99,852044,21299842435000.0,12581,388461,0.4559
2016-01-20,DABUR,EQ,249.55,248.0,251.9,247.4,249.45,249.25,248.68,948030,23575710680000.0,21232,680153,0.7173999999999999
2016-01-21,DABUR,EQ,249.25,249.5,251.5,238.95,241.0,240.4,241.8,1598807,38658725210000.0,27783,816562,0.5107
2016-01-22,DABUR,EQ,240.4,241.3,245.1,239.0,240.7,240.95,242.4,1104880,26781819820000.0,27739,632337,0.5723
2016-01-25,DABUR,EQ,240.95,242.0,242.45,236.35,237.4,237.25,238.1,1288751,30684907380000.0,38745,787021,0.6107
2016-01-27,DABUR,EQ,237.25,236.0,237.7,231.5,237.0,236.85,235.14,2994537,70414330070000.0,48270,2159745,0.7212000000000001
2016-01-28,DABUR,EQ,236.85,236.0,245.0,236.0,244.0,243.5,241.55,2276163,54980461770000.01,27822,721852,0.3171
2016-01-29,DABUR,EQ,243.5,245.8,252.65,243.15,251.95,250.65,246.5,1975624,48698146865000.0,34778,1149460,0.5818
2016-02-01,DABUR,EQ,250.65,250.9,252.5,248.05,251.0,251.05,250.97,1161891,29160536285000.004,23493,770511,0.6631999999999999
2016-02-02,DABUR,EQ,251.05,250.95,252.4,239.5,241.3,241.15,246.62,1141536,28152834789999.996,29987,618753,0.542
2016-02-03,DABUR,EQ,241.15,240.35,247.75,238.45,243.5,243.45,244.05,1841938,44951974350000.0,33719,1255562,0.6817000000000001
2016-02-04,DABUR,EQ,243.45,245.5,248.4,244.9,247.3,247.25,246.81,933205,23032322820000.0,14914,464963,0.49820000000000003
2016-02-05,DABUR,EQ,247.25,246.2,252.0,246.1,250.75,251.3,249.84,570371,14249943415000.0,11611,235703,0.4132
2016-02-08,DABUR,EQ,251.3,250.2,253.25,249.35,250.7,250.95,251.52,1355234,34087189014999.996,12425,1058693,0.7812000000000001
2016-02-09,DABUR,EQ,250.95,250.0,251.45,247.7,250.0,249.25,249.21,562650,14021989419999.998,7370,397444,0.7064
2016-02-10,DABUR,EQ,249.25,249.0,249.5,240.6,244.2,242.9,244.88,2019507,49454641080000.0,24998,1548730,0.7669
2016-02-11,DABUR,EQ,242.9,243.5,245.9,237.0,238.2,239.15,243.31,814826,19825243275000.0,15431,449638,0.5518
2016-02-12,DABUR,EQ,239.15,241.3,249.35,238.0,249.0,247.8,243.53,1768414,43066437230000.0,32184,1064584,0.6020000000000001
2016-02-15,DABUR,EQ,247.8,247.8,251.7,241.1,249.0,248.9,248.35,587206,14583374310000.0,9815,289490,0.493
2016-02-16,DABUR,EQ,248.9,247.15,252.4,242.05,242.05,245.1,249.13,903440,22507519450000.0,17864,443205,0.49060000000000004
2016-02-17,DABUR,EQ,245.1,243.35,243.9,239.0,242.85,241.45,241.29,708900,17105148069999.998,16349,366468,0.517
2016-02-18,DABUR,EQ,241.45,243.9,245.45,242.2,243.8,243.75,243.88,625392,15251979200000.0,16793,387178,0.6191
2016-02-19,DABUR,EQ,243.75,243.95,245.2,240.8,245.2,244.4,243.07,641453,15591678365000.0,21935,355016,0.5535
2016-02-22,DABUR,EQ,244.4,244.4,249.7,243.05,249.5,248.6,246.67,704507,17378084835000.0,16373,364229,0.517
2016-02-23,DABUR,EQ,248.6,250.0,250.9,237.1,238.0,238.9,241.73,938836,22694663955000.0,33995,504719,0.5376
2016-02-24,DABUR,EQ,238.9,239.95,240.8,234.25,236.05,236.35,236.18,793064,18730282175000.0,26721,367367,0.4632
2016-02-25,DABUR,EQ,236.35,237.45,241.7,233.5,240.4,238.6,237.34,1273986,30236232564999.996,18647,755899,0.5933
2016-02-26,DABUR,EQ,238.6,241.15,242.7,238.0,240.65,241.3,240.53,649723,15627654115000.0,13068,315809,0.48610000000000003
2016-02-29,DABUR,EQ,241.3,242.8,242.8,235.0,235.9,237.15,238.09,1241678,29562735550000.0,28371,691649,0.557
2016-03-01,DABUR,EQ,237.15,237.15,243.4,237.0,243.4,241.95,241.09,1854784,44717424800000.0,31112,1379403,0.7437
2016-03-02,DABUR,EQ,241.95,243.0,246.8,242.1,242.55,243.55,244.24,2676742,65376062990000.0,54521,2271734,0.8487
2016-03-03,DABUR,EQ,243.55,244.75,246.65,241.1,245.95,245.1,244.08,2382139,58143336600000.0,24605,2020171,0.848
2016-03-04,DABUR,EQ,245.1,242.55,253.0,242.55,249.0,249.55,249.74,863628,21568474575000.0,19382,501231,0.5804
2016-03-08,DABUR,EQ,249.55,248.0,251.3,245.95,246.75,248.6,248.63,814441,20249476615000.0,17572,478997,0.5881000000000001
2016-03-09,DABUR,EQ,248.6,246.8,247.0,241.4,245.3,245.85,243.91,1948003,47514408490000.0,28993,1656256,0.8502
2016-03-10,DABUR,EQ,245.85,246.0,247.9,244.1,246.85,245.95,246.54,823429,20300608155000.0,20615,634741,0.7709
2016-03-11,DABUR,EQ,245.95,246.0,251.0,244.1,249.5,249.85,249.69,781595,19515381205000.0,20436,447673,0.5728
2016-03-14,DABUR,EQ,249.85,252.3,254.5,249.5,250.4,251.05,251.59,1255475,31586846320000.0,31413,760565,0.6058
2016-03-15,DABUR,EQ,251.05,253.7,253.7,245.85,248.05,247.4,249.73,1913003,47774335015000.0,29912,1619104,0.8464
2016-03-16,DABUR,EQ,247.4,245.8,249.8,244.15,247.5,247.25,246.07,2569912,63237612090000.0,16004,2332612,0.9077
2016-03-17,DABUR,EQ,247.25,247.8,250.0,246.3,247.5,247.95,248.52,1021608,25389417280000.0,34432,684434,0.67
2016-03-18,DABUR,EQ,247.95,249.0,250.9,245.6,250.5,249.6,248.41,1033786,25680490250000.0,18232,744080,0.7198000000000001
2016-03-21,DABUR,EQ,249.6,251.0,253.9,250.0,253.0,253.1,252.34,612911,15466174140000.0,31155,377690,0.6162
2016-03-22,DABUR,EQ,253.1,252.2,255.8,247.65,248.45,249.65,252.32,1496853,37768296625000.0,30925,845454,0.5648
2016-03-23,DABUR,EQ,249.65,247.2,250.55,247.2,248.4,248.95,248.95,519794,12940295980000.0,7205,319105,0.6139
2016-03-28,DABUR,EQ,248.95,249.95,249.95,242.0,243.35,243.55,244.87,1264277,30957948910000.004,23059,718379,0.5682
2016-03-29,DABUR,EQ,243.55,243.55,245.8,242.75,245.6,245.1,244.63,614581,15034723260000.0,17740,419232,0.6820999999999999
2016-03-30,DABUR,EQ,245.1,245.85,249.55,245.8,247.1,246.75,247.98,2079588,51568808135000.0,25258,1475945,0.7097
2016-03-31,DABUR,EQ,246.75,247.05,251.8,246.4,250.75,249.9,249.08,2028211,50519370265000.0,35760,1684620,0.8306
2016-04-01,DABUR,EQ,249.9,248.05,251.35,247.3,250.3,250.5,249.28,682598,17015799410000.0,30838,451742,0.6618
2016-04-04,DABUR,EQ,250.5,250.5,252.75,247.5,249.4,249.55,249.78,343178,8571889290000.001,12265,122963,0.3583
2016-04-05,DABUR,EQ,249.55,249.0,250.05,244.95,247.0,246.0,246.96,628025,15509922300000.0,17624,402930,0.6416
2016-04-06,DABUR,EQ,246.0,245.6,248.5,245.1,248.0,247.8,247.4,1394691,34503977339999.996,32059,1207568,0.8658
2016-04-07,DABUR,EQ,247.8,248.0,249.4,246.0,247.4,247.7,247.62,847869,20995265150000.0,13231,609675,0.7191
2016-04-08,DABUR,EQ,247.7,247.55,251.9,246.45,249.5,250.05,250.52,652307,16341281390000.0,8938,456698,0.7001000000000001
2016-04-11,DABUR,EQ,250.05,250.0,254.4,248.15,252.65,253.4,251.81,468793,11804867550000.0,7370,262641,0.5602
2016-04-12,DABUR,EQ,253.4,254.85,263.6,254.75,262.35,262.8,259.42,1150416,29844447020000.0,17264,473222,0.41130000000000005
2016-04-13,DABUR,EQ,262.8,265.0,268.7,262.65,268.0,267.55,266.26,1458830,38843081670000.0,38698,892343,0.6117
2016-04-18,DABUR,EQ,267.55,267.95,275.0,267.75,272.1,273.65,272.25,1500549,40851705255000.0,34377,954579,0.6362
2016-04-20,DABUR,EQ,273.65,272.4,273.0,264.8,266.45,267.25,267.46,815581,21813778890000.0,19438,429827,0.527
2016-04-21,DABUR,EQ,267.25,268.0,269.2,262.8,267.45,267.2,265.68,737895,19604041280000.0,21469,360788,0.4889
2016-04-22,DABUR,EQ,267.2,267.6,274.8,263.7,264.95,264.9,268.24,1363045,36562076580000.0,30309,696406,0.5109
2016-04-25,DABUR,EQ,264.9,266.55,269.25,262.55,268.0,266.8,265.37,970885,25764857120000.0,26876,550239,0.5667
2016-04-26,DABUR,EQ,266.8,266.8,269.05,264.45,266.2,266.55,267.03,734065,19601572070000.0,26625,441838,0.6019
2016-04-27,DABUR,EQ,266.55,266.0,274.5,264.25,273.65,272.5,270.33,1220728,32999818539999.996,39321,630286,0.5163
2016-04-28,DABUR,EQ,272.5,275.0,275.0,262.8,269.75,269.65,268.58,4787975,128593820905000.0,59352,1761948,0.368
2016-04-29,DABUR,EQ,269.65,273.05,279.4,271.15,274.65,275.8,275.46,3459534,95297636460000.0,76393,1798526,0.5199
2016-05-02,DABUR,EQ,275.8,275.5,299.95,274.4,295.95,296.15,288.0,4131650,118992583715000.02,46494,2329115,0.5637
2016-05-03,DABUR,EQ,296.15,296.15,296.6,287.2,288.65,290.4,290.72,1696503,49319956125000.0,28547,741802,0.43729999999999997
2016-05-04,DABUR,EQ,290.4,288.05,289.9,279.45,280.65,281.25,283.31,1793703,50817712835000.0,23219,1230386,0.6859000000000001
2016-05-05,DABUR,EQ,281.25,283.55,289.0,280.1,283.45,282.6,284.76,1146631,32651836239999.996,20411,548337,0.4782
2016-05-06,DABUR,EQ,282.6,283.0,293.0,283.0,289.15,290.2,290.5,2197171,63827104545000.01,33218,1221383,0.5559000000000001
2016-05-09,DABUR,EQ,290.2,291.4,295.0,285.9,289.5,287.75,291.17,1338639,38977341885000.0,20742,709138,0.5297
2016-05-10,DABUR,EQ,287.75,288.1,292.5,288.1,290.4,290.15,290.35,1651270,47944541855000.0,30134,1155003,0.6995
2016-05-11,DABUR,EQ,290.15,290.0,293.7,287.1,293.15,293.1,292.08,1119130,32687501735000.004,20523,647790,0.5788000000000001
2016-05-12,DABUR,EQ,293.1,293.55,295.4,289.25,291.35,291.4,292.27,836974,24462572080000.0,21749,349416,0.4175
2016-05-13,DABUR,EQ,291.4,289.5,293.7,283.7,290.0,289.5,289.43,1261256,36504830195000.0,20934,637477,0.5054
2016-05-16,DABUR,EQ,289.5,289.0,289.85,282.6,285.0,284.95,284.64,947331,26964593430000.0,18833,493547,0.521
2016-05-17,DABUR,EQ,284.95,285.9,286.9,280.35,281.0,281.2,282.55,1094466,30924401850000.0,17913,683914,0.6249
2016-05-18,DABUR,EQ,281.2,278.2,287.5,278.2,287.3,286.35,283.47,873557,24762864490000.0,15815,428244,0.4902
2016-05-19,DABUR,EQ,286.35,288.8,290.25,279.8,281.85,281.55,284.89,1332297,37955383490000.0,24456,688564,0.5168
2016-05-20,DABUR,EQ,281.55,282.95,285.1,276.2,278.3,277.1,280.57,926117,25983985640000.0,24665,450082,0.48600000000000004
2016-05-23,DABUR,EQ,277.1,279.85,286.3,275.5,285.75,285.6,283.89,1445721,41042115995000.0,29204,830429,0.5744
2016-05-24,DABUR,EQ,285.6,287.3,289.8,281.05,283.3,283.1,286.34,1028754,29457414730000.0,20749,399650,0.3885
2016-05-25,DABUR,EQ,283.1,284.35,289.45,282.75,289.1,288.7,287.31,724723,20821772525000.0,12083,324134,0.4473
2016-05-26,DABUR,EQ,288.7,289.55,295.0,289.5,293.7,294.4,293.14,1385045,40600681830000.0,28772,793889,0.5732
2016-05-27,DABUR,EQ,294.4,295.7,300.9,292.5,294.75,295.8,297.49,1332795,39649154225000.0,23201,671315,0.5037
2016-05-30,DABUR,EQ,295.8,295.55,299.9,292.0,297.05,298.3,297.29,794145,23609305060000.0,20641,355189,0.4473
2016-05-31,DABUR,EQ,298.3,298.0,298.0,288.25,289.25,289.7,290.62,2638695,76685041210000.0,33484,1837388,0.6962999999999999
2016-06-01,DABUR,EQ,289.7,289.9,293.0,288.55,289.65,290.1,290.61,887968,25805049545000.0,24888,487194,0.5487
2016-06-02,DABUR,EQ,290.1,290.0,300.0,289.05,299.2,299.3,296.19,1923473,56970898500000.0,44394,1364056,0.7092
2016-06-03,DABUR,EQ,299.3,300.0,306.85,297.8,306.55,305.9,304.02,2262884,68796925510000.0,36792,1187517,0.5247999999999999
2016-06-06,DABUR,EQ,305.9,307.0,311.9,302.15,302.65,303.25,306.59,2192877,67231882085000.0,24042,1237119,0.5642
