Date,Symbol,Series,Prev Close,Open,High,Low,Last,Price,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,ESCORTS,EQ,154.8,155.9,163.8,155.05,162.4,162.1,160.67,2516191,40428017380000.0,19503,634531,0.2522
2015-10-07,ESCORTS,EQ,162.1,163.25,165.3,159.2,160.0,160.1,162.32,1231217,19984953110000.0,11792,353634,0.2872
2015-10-08,ESCORTS,EQ,160.1,160.05,166.6,159.1,162.5,163.3,163.63,1764142,28867095264999.996,16826,428271,0.24280000000000002
2015-10-09,ESCORTS,EQ,163.3,166.0,167.8,163.0,163.65,164.0,165.04,1173348,19365006985000.0,12117,317042,0.2702
2015-10-12,ESCORTS,EQ,164.0,165.5,167.4,162.0,164.0,163.95,164.51,908877,14951608030000.002,9670,206796,0.2275
2015-10-13,ESCORTS,EQ,163.95,163.25,164.9,161.3,162.35,162.85,162.88,448114,7298904734999.999,5025,111307,0.2484
2015-10-14,ESCORTS,EQ,162.85,162.85,169.75,162.4,164.85,165.15,166.99,2203487,36796735445000.0,20946,505033,0.22920000000000001
2015-10-15,ESCORTS,EQ,165.15,166.75,169.3,164.4,166.5,166.8,167.2,1430446,23917253245000.0,13592,288128,0.20140000000000002
2015-10-16,ESCORTS,EQ,166.8,167.35,171.6,165.3,170.3,170.05,169.19,1907325,32270585414999.996,15196,519007,0.2721
2015-10-19,ESCORTS,EQ,170.05,170.85,181.7,169.75,181.2,178.9,176.34,3314968,58454933279999.99,25334,925054,0.2791
2015-10-20,ESCORTS,EQ,178.9,181.7,183.3,176.25,177.7,177.9,180.13,1865787,33608577345000.0,18422,607576,0.32560000000000006
2015-10-21,ESCORTS,EQ,177.9,178.0,187.6,176.15,185.75,186.5,183.0,3478983,63663910070000.01,29186,774433,0.22260000000000002
2015-10-23,ESCORTS,EQ,186.5,187.9,188.2,178.65,181.3,180.8,183.7,1519448,27912078575000.0,13213,482203,0.3174
2015-10-26,ESCORTS,EQ,180.8,181.45,184.35,179.25,179.95,180.2,181.82,1705608,31012196295000.0,13964,258892,0.1518
2015-10-27,ESCORTS,EQ,180.2,179.25,181.5,177.2,178.4,178.9,179.4,884387,15865559335000.0,8081,162921,0.18420000000000003
2015-10-28,ESCORTS,EQ,178.9,177.9,183.0,176.2,181.0,180.3,180.21,1331509,23994728445000.0,11777,338793,0.2544
2015-10-29,ESCORTS,EQ,180.3,179.9,181.7,177.2,177.5,177.8,179.23,575876,10321529230000.0,5074,178035,0.30920000000000003
2015-10-30,ESCORTS,EQ,177.8,178.35,183.85,173.5,176.2,176.2,180.31,2030393,36609725545000.0,18397,359696,0.1772
2015-11-02,ESCORTS,EQ,176.2,176.7,180.5,167.5,173.5,172.9,173.93,3290445,57231770129999.99,28517,393271,0.1195
2015-11-03,ESCORTS,EQ,172.9,173.9,174.5,164.5,165.6,165.95,168.56,1100664,18552727320000.0,12387,366940,0.33340000000000003
2015-11-04,ESCORTS,EQ,165.95,167.45,167.7,161.1,162.0,161.8,163.83,909496,14900717090000.0,10111,303547,0.33380000000000004
2015-11-05,ESCORTS,EQ,161.8,161.95,165.2,158.0,158.35,158.6,161.12,896363,14442620400000.0,10345,306332,0.3417
2015-11-06,ESCORTS,EQ,158.6,160.0,161.35,153.4,153.5,154.25,156.48,712916,11155487830000.0,8605,286149,0.40140000000000003
2015-11-09,ESCORTS,EQ,154.25,149.75,159.5,148.8,158.45,158.4,156.03,816239,12736036850000.0,8451,248055,0.3039
2015-11-10,ESCORTS,EQ,158.4,157.6,161.3,155.55,157.0,156.65,158.71,713407,11322427980000.0,8329,173098,0.2426
2015-11-11,ESCORTS,EQ,156.65,158.25,159.8,157.75,158.5,158.75,158.76,158163,2511038895000.0,1451,75453,0.4771
