Date,Symbol,Series,Prev Close,Open,High,Low,Last,Price,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,GLENMARK,EQ,1053.1,1056.5,1074.9,1046.6,1060.7,1056.95,1064.24,699342,74426697525000.0,25588,267252,0.3821
2015-10-07,GLENMARK,EQ,1056.95,1063.9,1065.95,1028.0,1034.0,1033.6,1042.81,726135,75722116880000.0,34655,268372,0.36960000000000004
2015-10-08,GLENMARK,EQ,1033.6,1025.0,1029.0,985.35,991.55,990.4,1001.42,1289574,129140657275000.0,33467,768890,0.5962
2015-10-09,GLENMARK,EQ,990.4,1001.0,1020.0,1000.0,1014.0,1016.2,1012.29,564902,57184235550000.0,26973,244631,0.43310000000000004
2015-10-12,GLENMARK,EQ,1016.2,1027.5,1042.0,1015.2,1039.4,1036.4,1030.89,815361,84054348535000.0,33859,393968,0.4832
2015-10-13,GLENMARK,EQ,1036.4,1037.0,1044.75,1010.15,1020.0,1024.1,1026.91,931190,95624594870000.0,26919,565112,0.6069
2015-10-14,GLENMARK,EQ,1024.1,1022.85,1022.85,1005.0,1018.0,1014.3,1012.05,369677,37413233370000.0,16395,144982,0.3922
2015-10-15,GLENMARK,EQ,1014.3,1020.9,1029.0,1010.55,1012.45,1012.6,1017.32,734198,74691616335000.0,19234,545141,0.7425
2015-10-16,GLENMARK,EQ,1012.6,1018.9,1024.9,1008.1,1020.0,1020.2,1016.46,450285,45769502880000.0,28962,236382,0.525
2015-10-19,GLENMARK,EQ,1020.2,1020.0,1044.0,1014.0,1041.0,1039.8,1030.74,918885,94713279275000.0,32413,677238,0.737
2015-10-20,GLENMARK,EQ,1039.8,1042.1,1047.95,1028.25,1029.7,1031.75,1035.94,432045,44757130035000.0,10652,224535,0.5197
2015-10-21,GLENMARK,EQ,1031.75,1029.0,1036.7,1015.2,1020.0,1018.05,1024.14,463222,47440362960000.0,18300,237256,0.5122
2015-10-23,GLENMARK,EQ,1018.05,1026.3,1045.5,1024.0,1031.45,1028.55,1037.36,905290,93910714145000.0,31504,549434,0.6069
2015-10-26,GLENMARK,EQ,1028.55,1033.35,1035.1,1001.0,1008.55,1007.1,1011.03,543610,54960599910000.0,52760,288856,0.5314
2015-10-27,GLENMARK,EQ,1007.1,1007.5,1016.6,995.0,1008.6,1005.0,1007.19,438637,44178897070000.0,64565,234574,0.5347999999999999
2015-10-28,GLENMARK,EQ,1005.0,1004.8,1012.5,982.4,984.0,986.0,996.75,978021,97484534740000.0,54412,757354,0.7744
2015-10-29,GLENMARK,EQ,986.0,993.0,995.65,927.5,946.0,942.75,955.41,2232842,213328030950000.0,74459,1253954,0.5616
2015-10-30,GLENMARK,EQ,942.75,974.4,1001.95,967.35,991.3,991.5,986.42,2276059,224515116735000.0,68992,1061996,0.46659999999999996
2015-11-02,GLENMARK,EQ,991.5,996.5,1000.0,970.45,986.0,984.0,979.96,528136,51755149870000.0,29539,203641,0.38560000000000005
2015-11-03,GLENMARK,EQ,984.0,995.0,995.0,978.0,979.5,979.9,982.4,580501,57028328520000.01,13985,367542,0.6331
2015-11-04,GLENMARK,EQ,979.9,983.0,994.65,980.2,985.0,986.95,988.87,824619,81544431795000.0,15511,531673,0.6447
2015-11-05,GLENMARK,EQ,986.95,986.5,986.5,962.0,970.2,966.3,969.05,534179,51764769945000.0,21419,310571,0.5814
2015-11-06,GLENMARK,EQ,966.3,974.85,980.0,950.3,970.0,962.05,963.97,723522,69745039960000.0,20851,380811,0.5263
2015-11-09,GLENMARK,EQ,962.05,940.0,967.0,933.55,963.0,962.95,957.5,878897,84154687445000.0,37941,500978,0.5700000000000001
