Date,Symbol,Series,Prev Close,Open,High,Low,Last,Price,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-06,GODREJPROP,EQ,320.85,321.3,326.0,316.0,324.0,324.05,323.13,699827,22613167085000.0,6791,607789,0.8684999999999999
2015-10-07,GODREJPROP,EQ,324.05,326.0,343.35,322.5,338.65,338.85,336.71,462956,15588104290000.0,8112,176697,0.38170000000000004
2015-10-08,GODREJPROP,EQ,338.85,341.4,352.95,338.85,344.0,344.25,346.73,403844,14002668069999.998,7211,119149,0.295
2015-10-09,GODREJPROP,EQ,344.25,345.55,351.0,336.4,339.8,339.9,342.37,174584,5977162070000.0,4138,63987,0.3665
2015-10-12,GODREJPROP,EQ,339.9,339.0,344.0,334.3,336.5,337.1,338.56,97498,3300846720000.0,2725,28650,0.2939
2015-10-13,GODREJPROP,EQ,337.1,335.1,343.7,331.75,333.65,334.5,337.57,115365,3894401415000.0,2612,46377,0.402
2015-10-14,GODREJPROP,EQ,334.5,334.75,341.4,333.0,336.3,336.25,337.14,119863,4041100045000.0005,3458,37615,0.3138
2015-10-15,GODREJPROP,EQ,336.25,336.0,346.8,336.0,343.0,342.85,342.92,164899,5654755400000.0,3358,62262,0.3776
2015-10-16,GODREJPROP,EQ,342.85,345.8,349.6,341.95,345.5,346.15,345.66,157970,5460429635000.0,3080,81327,0.5147999999999999
2015-10-19,GODREJPROP,EQ,346.15,348.95,364.0,342.0,363.0,361.8,357.41,348248,12446674595000.0,6572,143297,0.4115
2015-10-20,GODREJPROP,EQ,361.8,364.2,375.0,361.0,362.15,363.8,368.03,461586,16987894569999.998,9129,247767,0.5368
2015-10-21,GODREJPROP,EQ,363.8,366.9,366.9,350.6,355.0,353.1,357.71,168952,6043515085000.0,6349,87143,0.5158
2015-10-23,GODREJPROP,EQ,353.1,358.7,365.0,349.9,358.2,359.05,359.87,262427,9444054425000.0,7662,156826,0.5976
2015-10-26,GODREJPROP,EQ,359.05,360.9,365.0,352.5,361.15,361.4,359.0,171621,6161165850000.0,7000,93869,0.547
2015-10-27,GODREJPROP,EQ,361.4,362.95,364.7,354.1,362.0,360.1,359.86,161942,5827596170000.0,6432,95992,0.5928
2015-10-28,GODREJPROP,EQ,360.1,360.1,360.1,346.55,351.0,352.35,354.37,166041,5884017870000.0,7423,104916,0.6319
2015-10-29,GODREJPROP,EQ,352.35,352.9,356.95,349.45,350.0,350.45,352.9,115649,4081253925000.0,6823,59247,0.5123
2015-10-30,GODREJPROP,EQ,350.45,355.0,355.0,341.2,343.65,343.5,348.68,107941,3763646375000.0,1978,79793,0.7392000000000001
2015-11-02,GODREJPROP,EQ,343.5,343.5,351.55,341.15,345.55,346.85,346.75,107042,3711662710000.0,5033,50428,0.4711
2015-11-03,GODREJPROP,EQ,346.85,349.3,354.0,346.0,348.4,348.0,349.63,110134,3850591095000.0005,2914,60405,0.5485
2015-11-04,GODREJPROP,EQ,348.0,350.1,366.0,334.0,334.05,337.35,353.4,1384164,48916410800000.0,21780,318255,0.2299
2015-11-05,GODREJPROP,EQ,337.35,336.8,341.4,319.0,320.0,323.5,330.6,261317,8639097750000.0,7742,129791,0.49670000000000003
2015-11-06,GODREJPROP,EQ,323.5,323.0,326.95,316.2,318.0,319.95,321.22,159153,5112354040000.0,4867,102553,0.6444
2015-11-09,GODREJPROP,EQ,319.95,307.0,326.35,305.15,321.6,321.9,320.06,166179,5318741815000.0,5229,74761,0.4499
2015-11-10,GODREJPROP,EQ,321.9,323.6,324.8,312.0,314.0,313.7,317.47,104721,3324566935000.0,3635,59884,0.5718
2015-11-11,GODREJPROP,EQ,313.7,321.8,325.0,319.0,323.05,323.25,322.81,35816,1156173745000.0,949,24450,0.6827
2015-11-13,GODREJPROP,EQ,323.25,322.95,322.95,314.8,318.6,319.0,319.39,95328,3044664730000.0,3289,48880,0.5128
2015-11-16,GODREJPROP,EQ,319.0,316.15,320.65,314.15,318.0,318.5,318.48,92094,2932973060000.0,2451,55790,0.6058
2015-11-17,GODREJPROP,EQ,318.5,320.95,323.75,312.3,315.5,316.65,317.48,92971,2951627055000.0,2236,47723,0.5133
2015-11-18,GODREJPROP,EQ,316.65,316.65,317.45,310.0,311.2,310.7,313.57,83574,2620598160000.0,1936,50659,0.6062
2015-11-19,GODREJPROP,EQ,310.7,314.9,318.45,307.1,316.5,316.45,315.12,110891,3494417835000.0,3368,66391,0.5987
2015-11-20,GODREJPROP,EQ,316.45,317.15,325.0,313.0,318.8,320.05,320.1,152150,4870338480000.0,5470,78871,0.5184000000000001
2015-11-23,GODREJPROP,EQ,320.05,320.05,326.0,318.05,318.7,321.0,322.26,68125,2195391950000.0,2461,37070,0.5441
2015-11-24,GODREJPROP,EQ,321.0,319.0,320.5,315.0,316.4,315.85,318.02,55564,1767052205000.0,1656,29138,0.5244
2015-11-26,GODREJPROP,EQ,315.85,315.85,329.0,315.5,323.95,323.95,321.93,234040,7534487884999.999,5313,104758,0.4476
2015-11-27,GODREJPROP,EQ,323.95,328.0,334.85,323.0,333.4,331.75,330.55,186197,6154819500000.0,4037,92683,0.4978
2015-11-30,GODREJPROP,EQ,331.75,332.5,347.9,330.1,335.25,336.5,339.89,168388,5723378915000.0,4312,87242,0.5181
2015-12-01,GODREJPROP,EQ,336.5,336.5,342.4,330.0,334.0,333.95,336.25,84550,2843021875000.0,3785,25887,0.3062
2015-12-02,GODREJPROP,EQ,333.95,337.15,339.2,330.35,336.9,335.75,334.97,56439,1890554439999.9998,2307,21534,0.3815
2015-12-03,GODREJPROP,EQ,335.75,336.8,344.7,332.0,337.6,339.25,339.86,110570,3757855015000.0,2661,50472,0.4565
2015-12-04,GODREJPROP,EQ,339.25,338.0,338.0,333.1,333.1,334.0,335.7,59181,1986697064999.9998,3604,37893,0.6403
2015-12-07,GODREJPROP,EQ,334.0,335.3,353.0,334.1,336.8,338.35,342.17,203130,6950486980000.0,4607,65145,0.3207
2015-12-08,GODREJPROP,EQ,338.35,337.75,342.0,330.9,332.25,332.2,336.12,71644,2408106305000.0,1890,42349,0.5911
2015-12-09,GODREJPROP,EQ,332.2,336.4,336.4,323.4,328.0,325.95,327.61,80909,2650629645000.0,2451,33627,0.4156
2015-12-10,GODREJPROP,EQ,325.95,326.05,332.3,319.0,331.0,330.7,327.19,66482,2175248010000.0002,1772,27664,0.4161
2015-12-11,GODREJPROP,EQ,330.7,332.9,337.25,325.35,326.55,328.05,331.5,87106,2887589415000.0,2184,38060,0.4369
2015-12-14,GODREJPROP,EQ,328.05,328.05,333.0,322.4,324.0,325.6,326.84,93340,3050746800000.0,3036,67521,0.7234
2015-12-15,GODREJPROP,EQ,325.6,325.0,333.0,322.0,331.5,330.55,328.15,67322,2209145940000.0,1942,41053,0.6098
2015-12-16,GODREJPROP,EQ,330.55,333.6,336.0,326.65,328.6,329.45,332.11,98642,3275984725000.0,3134,41717,0.4229
2015-12-17,GODREJPROP,EQ,329.45,330.0,335.0,325.35,331.7,332.05,331.5,62493,2071616910000.0002,1758,29923,0.47880000000000006
2015-12-18,GODREJPROP,EQ,332.05,335.55,340.05,327.1,330.0,329.7,334.59,287589,9622377625000.0,7026,105198,0.3658
2015-12-21,GODREJPROP,EQ,329.7,329.9,338.6,329.9,338.2,330.2,330.25,2904735,95928745610000.0,3083,2816427,0.9695999999999999
2015-12-22,GODREJPROP,EQ,330.2,337.9,347.9,337.9,340.8,342.4,344.04,422159,14524096660000.0,7113,160746,0.38079999999999997
2015-12-23,GODREJPROP,EQ,342.4,343.0,347.0,337.2,339.0,339.15,341.49,150560,5141423850000.0,2307,88487,0.5877
2015-12-24,GODREJPROP,EQ,339.15,339.15,339.55,335.1,335.95,336.55,337.79,87575,2958219675000.0,1442,50348,0.5749000000000001
2015-12-28,GODREJPROP,EQ,336.55,339.0,339.5,335.0,335.6,335.9,338.04,92623,3131067725000.0,1808,65627,0.7084999999999999
2015-12-29,GODREJPROP,EQ,335.9,337.0,338.4,330.6,332.9,332.65,336.05,93073,3127724875000.0,1493,66011,0.7092
2015-12-30,GODREJPROP,EQ,332.65,333.9,338.05,333.0,336.25,336.9,336.32,53383,1795382995000.0,1210,32691,0.6124
2015-12-31,GODREJPROP,EQ,336.9,338.2,340.0,333.0,335.55,336.25,337.39,111106,3748622610000.0,2015,82192,0.7398
2016-01-01,GODREJPROP,EQ,336.25,335.6,338.65,333.0,336.75,337.0,337.15,67496,2275613625000.0,1313,41142,0.6095
2016-01-04,GODREJPROP,EQ,337.0,336.0,339.0,332.5,334.0,334.05,336.32,103382,3476965615000.0,2008,73849,0.7143
2016-01-05,GODREJPROP,EQ,334.05,333.05,336.0,330.3,334.3,334.0,334.41,46252,1546691400000.0,1127,30514,0.6597
2016-01-06,GODREJPROP,EQ,334.0,334.55,339.0,329.05,330.0,330.0,332.63,84991,2827033535000.0,1694,57076,0.6716
2016-01-07,GODREJPROP,EQ,330.0,324.1,328.0,315.0,319.8,318.4,321.7,134162,4316020375000.0,4244,99776,0.7437
2016-01-08,GODREJPROP,EQ,318.4,320.5,325.25,319.0,319.8,320.2,321.77,186497,6000826960000.0,2285,134196,0.7195999999999999
2016-01-11,GODREJPROP,EQ,320.2,318.7,326.6,317.0,320.0,319.75,321.23,145178,4663494580000.0,2448,98305,0.6770999999999999
2016-01-12,GODREJPROP,EQ,319.75,320.15,323.0,317.0,322.8,320.45,318.64,363059,11568591980000.0,2067,344877,0.9499
2016-01-13,GODREJPROP,EQ,320.45,323.0,324.4,310.05,322.6,320.45,318.62,147775,4708442070000.0,1564,112813,0.7634000000000001
2016-01-14,GODREJPROP,EQ,320.45,318.0,327.75,310.05,325.0,325.9,321.09,102177,3280764550000.0,2305,56287,0.5509000000000001
2016-01-15,GODREJPROP,EQ,325.9,327.85,327.85,311.05,314.0,314.05,316.5,106435,3368638879999.9995,2176,58013,0.5451
2016-01-18,GODREJPROP,EQ,314.05,308.55,322.5,300.0,316.0,313.25,312.78,487276,15241250515000.0,6366,417499,0.8568000000000001
2016-01-19,GODREJPROP,EQ,313.25,313.0,322.0,310.15,320.0,319.95,317.88,61528,1955825905000.0,1886,25513,0.4147
2016-01-20,GODREJPROP,EQ,319.95,318.65,318.65,310.0,314.4,313.2,313.34,80012,2507120855000.0,1368,56060,0.7006
2016-01-21,GODREJPROP,EQ,313.2,314.9,315.55,304.0,309.6,311.0,310.6,95675,2971682365000.0,2589,58494,0.6114
2016-01-22,GODREJPROP,EQ,311.0,314.05,314.15,307.15,309.0,309.1,310.15,140921,4370678425000.0,2358,91298,0.6479
2016-01-25,GODREJPROP,EQ,309.1,317.8,317.8,309.0,310.0,309.55,310.58,93763,2912127660000.0,1901,66232,0.7064
2016-01-27,GODREJPROP,EQ,309.55,315.0,315.0,304.0,305.9,305.2,307.69,79983,2461011565000.0,3498,61562,0.7697
2016-01-28,GODREJPROP,EQ,305.2,307.95,310.0,299.5,301.0,300.3,303.22,177861,5393089375000.0,5325,150183,0.8444
2016-01-29,GODREJPROP,EQ,300.3,302.0,304.4,299.0,300.5,300.25,300.4,274820,8255548420000.0,3140,245389,0.8929
2016-02-01,GODREJPROP,EQ,300.25,301.5,304.7,300.0,302.55,302.45,302.22,117294,3544845354999.9995,3271,87635,0.7471
2016-02-02,GODREJPROP,EQ,302.45,304.8,308.7,297.5,300.0,300.05,301.68,344919,10405374065000.0,7268,83535,0.2422
2016-02-03,GODREJPROP,EQ,300.05,300.05,300.05,287.5,292.85,289.9,292.81,111274,3258178495000.0,2095,68970,0.6198
2016-02-04,GODREJPROP,EQ,289.9,292.5,300.8,291.0,299.9,298.0,298.14,134691,4015735840000.0,3201,93675,0.6955
2016-02-05,GODREJPROP,EQ,298.0,300.1,305.0,295.1,302.15,302.5,300.06,138253,4148368935000.0,4166,102543,0.7417
2016-02-08,GODREJPROP,EQ,302.5,298.55,301.0,295.0,299.3,298.45,298.37,170128,5076038410000.0,2204,127484,0.7493000000000001
2016-02-09,GODREJPROP,EQ,298.45,301.95,301.95,290.1,291.0,290.85,292.4,67146,1963321725000.0,3261,39175,0.5834
2016-02-10,GODREJPROP,EQ,290.85,290.0,309.0,286.5,287.5,288.0,289.88,99673,2889341040000.0,2026,55602,0.5578000000000001
2016-02-11,GODREJPROP,EQ,288.0,285.1,288.9,279.95,286.5,285.5,285.51,211943,6051197125000.0,2020,176414,0.8323999999999999
2016-02-12,GODREJPROP,EQ,285.5,284.6,285.55,267.5,278.5,278.2,274.36,371791,10200392635000.0,4633,297758,0.8009000000000001
2016-02-15,GODREJPROP,EQ,278.2,282.55,288.9,281.85,286.85,286.65,284.68,290218,8261893025000.0,3165,185342,0.6386000000000001
2016-02-16,GODREJPROP,EQ,286.65,286.05,286.9,280.0,284.7,282.25,284.05,44978,1277618580000.0,1023,27080,0.6021
2016-02-17,GODREJPROP,EQ,282.25,285.1,285.1,274.5,277.3,279.0,278.78,127943,3566806204999.9995,1778,89033,0.6959000000000001
2016-02-18,GODREJPROP,EQ,279.0,281.0,292.0,278.8,284.0,284.9,285.82,437024,12490959775000.0,3357,251665,0.5759000000000001
2016-02-19,GODREJPROP,EQ,284.9,284.05,284.6,274.1,275.0,274.75,278.42,78351,2181417220000.0,1953,60418,0.7711
2016-02-22,GODREJPROP,EQ,274.75,278.85,283.9,278.7,280.0,279.65,280.7,101577,2851234415000.0,2366,45136,0.44439999999999996
2016-02-23,GODREJPROP,EQ,279.65,281.4,281.5,274.7,275.8,275.5,279.05,45366,1265935615000.0,857,28659,0.6317
2016-02-24,GODREJPROP,EQ,275.5,277.45,279.05,272.0,275.0,273.55,274.75,41504,1140328615000.0,1207,18361,0.4424
2016-02-25,GODREJPROP,EQ,273.55,276.7,278.8,271.0,273.85,273.75,274.98,57694,1586478540000.0,1871,26165,0.4535
2016-02-26,GODREJPROP,EQ,273.75,275.55,276.8,270.05,272.0,271.95,272.16,68495,1864191030000.0,1232,54864,0.8009999999999999
2016-02-29,GODREJPROP,EQ,271.95,271.05,275.4,265.65,268.05,267.35,270.63,73625,1992491060000.0002,2511,33210,0.4511
2016-03-01,GODREJPROP,EQ,267.35,268.0,271.4,267.5,268.9,269.6,269.37,138711,3736470795000.0005,9664,87707,0.6323
2016-03-02,GODREJPROP,EQ,269.6,271.2,276.0,271.2,272.75,272.95,273.5,197322,5396745265000.0,2131,155497,0.788
2016-03-03,GODREJPROP,EQ,272.95,275.55,285.4,273.4,283.75,283.5,280.79,111603,3133687880000.0,1904,74094,0.6639
2016-03-04,GODREJPROP,EQ,283.5,283.95,285.7,280.0,280.0,281.1,282.48,74749,2111531150000.0,954,54434,0.7282
2016-03-08,GODREJPROP,EQ,281.1,281.1,281.55,276.1,277.0,276.9,278.88,64433,1796896314999.9998,4432,46508,0.7218000000000001
2016-03-09,GODREJPROP,EQ,276.9,277.5,285.1,276.0,279.0,278.6,280.44,162797,4565511090000.0,3425,97216,0.5972
2016-03-10,GODREJPROP,EQ,278.6,279.9,284.3,276.55,277.0,279.55,280.09,191913,5375240430000.0,3883,103947,0.5416
2016-03-11,GODREJPROP,EQ,279.55,284.3,286.1,275.25,275.6,276.25,281.23,222059,6245005710000.0,3753,119951,0.5402
2016-03-14,GODREJPROP,EQ,276.25,278.35,280.1,276.15,277.1,277.35,278.59,70484,1963604830000.0,1427,53708,0.762
2016-03-15,GODREJPROP,EQ,277.35,278.0,279.8,274.0,275.0,274.8,275.84,62365,1720292064999.9998,1096,50472,0.8093000000000001
2016-03-16,GODREJPROP,EQ,274.8,276.9,279.0,272.1,272.1,272.9,273.87,51744,1417114605000.0,1631,32517,0.6284000000000001
2016-03-17,GODREJPROP,EQ,272.9,276.85,276.85,271.25,272.5,273.4,274.06,250943,6877391225000.0,1951,222016,0.8847
2016-03-18,GODREJPROP,EQ,273.4,274.05,284.45,271.5,282.35,283.45,279.55,152122,4252637465000.0,2248,100045,0.6577
2016-03-21,GODREJPROP,EQ,283.45,283.45,290.85,283.15,286.25,287.75,287.89,339765,9781338500000.0,5977,265316,0.7809
2016-03-22,GODREJPROP,EQ,287.75,290.25,293.9,287.75,291.95,291.35,291.57,69896,2037968860000.0002,1440,36347,0.52
2016-03-23,GODREJPROP,EQ,291.35,293.65,299.8,286.15,299.0,297.75,294.49,100131,2948725050000.0,1946,68025,0.6794
2016-03-28,GODREJPROP,EQ,297.75,297.0,299.95,291.8,295.0,295.0,294.73,42800,1261465245000.0,950,31597,0.7382
2016-03-29,GODREJPROP,EQ,295.0,296.95,296.95,290.05,291.0,293.55,294.26,75766,2229489390000.0,1117,62512,0.8251000000000001
2016-03-30,GODREJPROP,EQ,293.55,294.0,300.5,292.8,297.75,295.4,296.13,40178,1189782735000.0,903,24585,0.6119
2016-03-31,GODREJPROP,EQ,295.4,293.2,313.25,293.2,296.0,295.85,301.72,177461,5354384905000.0,2664,84232,0.4747
2016-04-01,GODREJPROP,EQ,295.85,296.95,305.0,294.5,304.95,303.6,301.5,83900,2529579355000.0,3032,55300,0.6591
2016-04-04,GODREJPROP,EQ,303.6,308.1,310.0,302.5,304.0,303.9,305.74,87573,2677433400000.0,2422,48848,0.5578000000000001
2016-04-05,GODREJPROP,EQ,303.9,305.45,311.35,301.0,302.8,301.8,306.31,141065,4320896745000.0005,3337,63927,0.4532
2016-04-06,GODREJPROP,EQ,301.8,303.05,307.6,301.4,307.15,306.85,305.08,44213,1348828705000.0,1157,26251,0.5937
2016-04-07,GODREJPROP,EQ,306.85,306.7,312.0,305.45,311.0,310.35,309.44,58294,1803857860000.0002,1288,38784,0.6653
2016-04-08,GODREJPROP,EQ,310.35,311.0,315.3,309.5,314.0,314.75,313.84,71553,2245597125000.0,1471,46035,0.6434000000000001
2016-04-11,GODREJPROP,EQ,314.75,316.0,319.7,313.65,314.5,316.5,316.93,90266,2860788235000.0,1722,68063,0.7540000000000001
2016-04-12,GODREJPROP,EQ,316.5,316.5,322.2,314.0,321.45,321.7,319.55,100297,3204978545000.0,1477,79797,0.7956000000000001
2016-04-13,GODREJPROP,EQ,321.7,322.95,326.0,320.95,322.05,322.15,324.31,86867,2817166190000.0,1899,60924,0.7012999999999999
2016-04-18,GODREJPROP,EQ,322.15,321.2,351.05,319.0,341.35,344.8,338.37,326587,11050574670000.0,8785,129084,0.39530000000000004
2016-04-20,GODREJPROP,EQ,344.8,339.5,348.9,335.35,345.9,344.5,344.18,727241,25030535665000.0,6915,537510,0.7391
2016-04-21,GODREJPROP,EQ,344.5,348.95,348.95,327.85,335.85,334.15,342.54,779203,26691077405000.0,4646,679553,0.8721
2016-04-22,GODREJPROP,EQ,334.15,334.0,341.4,332.05,335.6,337.1,337.88,176373,5959296005000.0,3064,133854,0.7589
2016-04-25,GODREJPROP,EQ,337.1,338.0,343.0,330.0,332.95,332.35,334.93,199002,6665083705000.0,3846,119598,0.601
2016-04-26,GODREJPROP,EQ,332.35,334.1,339.0,328.3,330.6,330.5,333.5,187655,6258305925000.0,3576,112589,0.6
2016-04-27,GODREJPROP,EQ,330.5,333.9,336.0,329.0,330.5,330.1,330.71,170466,5637434660000.0,2516,130769,0.7671
2016-04-28,GODREJPROP,EQ,330.1,334.2,343.9,331.0,334.0,334.7,340.04,699162,23774206060000.0,9193,394040,0.5636
2016-04-29,GODREJPROP,EQ,334.7,334.0,343.0,330.6,340.0,340.05,337.98,92033,3110525650000.0,2346,41193,0.4476
